,Facility ID,Facility Name,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State
0,010001,SOUTHEAST HEALTH MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL
24,010001,SOUTHEAST ALABAMA MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL
130,010005,MARSHALL MEDICAL CENTERS,Acute Care,Government - Hospital District or Authority,193.0,,,AL
178,010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,Acute Care,Government - Hospital District or Authority,193.0,,,AL
181,010005,MARSHALL MEDICAL CENTER SOUTH,Acute Care,Government - Hospital District or Authority,193.0,,,AL
278,010006,NORTH ALABAMA MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL
335,010006,ELIZA COFFEE MEMORIAL HOSPITAL,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL
406,010007,MIZELL MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL
530,010008,CRENSHAW COMMUNITY HOSPITAL,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL
650,010011,ST. VINCENT'S EAST,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL
698,010011,ST VINCENT'S EAST,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL
800,010012,DEKALB REGIONAL MEDICAL CENTER,Acute Care,Proprietary,115.0,,,AL
926,010016,SHELBY BAPTIST MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL
1052,010018,CALLAHAN EYE HOSPITAL,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL
1082,010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL
1144,010018,CALLAHAN EYE FOUNDATION HOSPITAL,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL
