,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2014,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,15.0,17.9,11.8,21.5,,12.7,17.3,5.3
1,MARSHALL MEDICAL CENTER SOUTH (010005),2014,Acute Care,Government - Hospital District or Authority,193.0,,,AL,17.3,,14.7,21.7,,15.9,16.5,5.9
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2014,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,18.6,17.1,12.6,18.9,,15.0,16.6,4.1
3,MIZELL MEMORIAL HOSPITAL (010007),2014,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,14.4,24.6,,16.1,18.5,5.8
4,CRENSHAW COMMUNITY HOSPITAL (010008),2014,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,13.5,22.8,,15.6,17.2,
5,ST VINCENT'S EAST (010011),2014,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,16.3,18.2,10.8,20.7,,17.3,17.2,5.8
6,DEKALB REGIONAL MEDICAL CENTER (010012),2014,Acute Care,Proprietary,115.0,,,AL,16.2,18.8,16.4,24.7,,15.8,16.8,5.2
7,SHELBY BAPTIST MEDICAL CENTER (010016),2014,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,14.0,18.8,13.2,23.4,,13.1,16.4,5.7
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2014,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,17.2,19.0,11.0,21.2,,15.3,16.6,4.6
9,DALE MEDICAL CENTER (010021),2014,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,16.8,,11.7,21.5,,11.3,17.6,5.9
10,CHEROKEE MEDICAL CENTER (010022),2014,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,11.6,23.2,,13.6,18.0,
