,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2016,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.35,168.26,0.36,0.06,0.12,0.68,3.32,5.72,2.72,0.07
1,MARSHALL MEDICAL CENTER SOUTH (010005),2016,Acute Care,Government - Hospital District or Authority,193.0,,,AL,1.25,179.05,0.47,0.06,0.11,0.85,5.63,9.18,2.11,0.14
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2016,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,1.93,198.33,0.41,0.06,0.24,0.91,3.85,,2.5,0.09
3,MIZELL MEMORIAL HOSPITAL (010007),2016,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,1.2,,0.4,0.06,0.16,0.79,4.57,9.89,,0.35
4,CRENSHAW COMMUNITY HOSPITAL (010008),2016,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,1.41,,0.41,,0.17,0.9,,,,0.45
5,ST VINCENT'S EAST (010011),2016,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.54,157.92,0.31,0.06,0.15,0.99,7.18,9.66,2.51,0.1
6,DEKALB REGIONAL MEDICAL CENTER (010012),2016,Acute Care,Proprietary,115.0,,,AL,1.58,,0.36,0.06,0.15,0.9,4.92,11.78,2.23,0.24
7,SHELBY BAPTIST MEDICAL CENTER (010016),2016,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,1.56,155.98,0.41,0.06,0.1,0.8,2.84,10.26,1.95,0.84
8,CALLAHAN EYE HOSPITAL (010018),2016,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,1.4,,0.41,0.06,0.17,0.88,5.06,,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2016,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,2.13,135.38,0.44,0.06,0.13,0.98,4.16,,2.1,0.14
10,DALE MEDICAL CENTER (010021),2016,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,1.7,,0.38,0.06,0.16,1.01,6.4,9.43,,0.35
11,CHEROKEE MEDICAL CENTER (010022),2016,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,1.26,,0.4,,0.14,0.85,,,,0.37
12,BAPTIST MEDICAL CENTER SOUTH (010023),2016,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.09,171.58,0.32,0.06,0.1,0.59,1.94,9.97,3.0,0.39
13,JACKSON HOSPITAL & CLINIC INC (010024),2016,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.18,169.43,0.24,0.06,0.09,0.77,3.01,11.66,2.01,1.83
