,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2017,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,13.4,,3.5,9.7,16.1,11.4,,,,15.4
1,MARSHALL MEDICAL CENTER SOUTH (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,14.7,,,9.7,14.9,15.8,,,,20.2
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2017,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,15.7,,4.5,6.8,19.3,13.4,,,,17.1
3,MIZELL MEMORIAL HOSPITAL (010007),2017,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,13.7,,,8.1,15.4,15.0,,,,22.3
4,CRENSHAW COMMUNITY HOSPITAL (010008),2017,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,8.4,,,,,,16.3
5,ST VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,13.3,,3.8,8.2,11.9,11.9,,,,16.3
6,DEKALB REGIONAL MEDICAL CENTER (010012),2017,Acute Care,Proprietary,115.0,,,AL,15.8,,,8.3,16.8,13.3,,,,24.1
7,SHELBY BAPTIST MEDICAL CENTER (010016),2017,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,16.8,,3.7,6.6,15.1,14.1,,,,16.7
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,14.6,,,7.6,15.5,12.3,,,,17.8
9,DALE MEDICAL CENTER (010021),2017,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,6.0,,12.6,,,,14.5
10,CHEROKEE MEDICAL CENTER (010022),2017,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,7.8,,13.5,,,,18.1
11,BAPTIST MEDICAL CENTER SOUTH (010023),2017,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,13.0,,5.7,10.0,14.8,11.7,,,,16.9
12,JACKSON HOSPITAL & CLINIC INC (010024),2017,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,14.8,,4.3,8.4,13.0,12.0,,,,19.7
13,EAST ALABAMA MEDICAL CENTER (010029),2017,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,17.0,,5.1,8.4,15.6,12.0,,,,15.6
14,WEDOWEE HOSPITAL (010032),2017,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,8.0,,12.1,,,,15.1
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2017,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,11.6,,2.4,7.7,16.5,10.0,,,,13.0
16,COMMUNITY HOSPITAL INC (010034),2017,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,7.1,,9.4,,,,12.8
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2017,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,14.3,,,7.8,16.8,12.4,,,,20.2
18,ANDALUSIA REGIONAL HOSPITAL (010036),2017,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,13.7,,,7.2,11.8,10.9,,,,15.6
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2017,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,12.9,,,6.7,13.6,12.6,,,,14.0
20,HUNTSVILLE HOSPITAL (010039),2017,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,13.0,,1.8,9.0,16.8,11.6,,,,17.3
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2017,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,15.1,,3.0,8.1,13.1,13.0,,,,17.5
22,MARION REGIONAL MEDICAL CENTER (010044),2017,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,8.0,,10.3,,,,14.1
23,FAYETTE MEDICAL CENTER (010045),2017,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,7.7,15.6,10.3,,,,15.7
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2017,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,14.0,,2.6,7.6,12.9,9.6,,,,14.7
25,GEORGIANA MEDICAL CENTER (010047),2017,Acute Care,Proprietary,22.0,,,AL,,,,8.2,,11.8,,,,15.7
26,MEDICAL CENTER ENTERPRISE (010049),2017,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,10.3,14.7,16.5,,,,18.4
27,GREENE COUNTY HOSPITAL (010051),2017,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,8.9,,10.8,,,,17.0
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2017,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,7.6,,11.8,,,,14.5
29,FLOWERS HOSPITAL (010055),2017,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,14.9,,3.2,8.5,16.9,13.1,,,,15.7
30,ST VINCENT'S BIRMINGHAM (010056),2017,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,14.9,,5.3,7.1,14.1,10.3,,,,14.4
