,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2014,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,2.409,,22.0,9.133,7611.0,0.569,32.0,56.217,73385.0,1.378,2901.0,,6.0,4.353,0.741,4.0,5.401,74564.0,,68.0,0.0,0.743,144.0,3.0,4.746,0.632
1,MARSHALL MEDICAL CENTER SOUTH (010005),2014,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.548,,2.0,3.651,2808.0,0.321,4.0,12.448,26078.0,0.0,798.0,,0.0,1.198,0.923,1.0,1.083,27477.0,,75.0,0.0,0.92,92.0,3.0,3.189,0.941
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2014,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.527,,5.0,9.482,5723.0,0.709,16.0,22.579,40111.0,0.53,5644.0,,5.0,9.432,1.678,3.0,1.788,41900.0,,51.0,4.0,0.53,93.0,4.0,3.053,1.31
3,MIZELL MEMORIAL HOSPITAL (010007),2014,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,0.0,0.476,183.0,1.202,4.0,3.327,6033.0,,15.0,,0.0,0.035,,0.0,0.305,6033.0,,2.0,0.0,0.02,9.0,0.0,0.273,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2014,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,0.0,0.783,1722.0,,,,,,,0.0,0.154,1722.0,,,,,,,,
5,ST VINCENT'S EAST (010011),2014,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.569,,12.0,21.089,10008.0,1.436,49.0,34.134,61214.0,0.944,7803.0,,15.0,15.897,3.457,13.0,3.76,61214.0,1.172,169.0,2.0,1.706,190.0,2.0,6.175,0.324
6,DEKALB REGIONAL MEDICAL CENTER (010012),2014,Acute Care,Proprietary,115.0,,,AL,0.0,,0.0,1.945,1497.0,1.031,6.0,5.819,12438.0,,292.0,,0.0,0.439,0.706,1.0,1.417,12506.0,,52.0,0.0,0.784,22.0,1.0,0.777,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2014,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.345,,5.0,14.509,6904.0,0.556,12.0,21.578,39418.0,0.198,5328.0,,2.0,10.097,1.323,3.0,2.268,39418.0,0.868,123.0,1.0,1.152,198.0,6.0,6.464,0.928
8,CALLAHAN EYE HOSPITAL (010018),2014,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,0.0,0.077,135.0,,,,,,,0.0,0.007,135.0,,,,,,,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2014,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.0,,0.0,2.28,1753.0,0.185,2.0,10.813,22036.0,0.0,729.0,,0.0,1.094,1.315,2.0,1.521,24535.0,,56.0,0.0,0.532,78.0,1.0,2.565,0.39
