,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2016,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.657,37.0,56.348,81130.0,2.816,7117.0,16.0,5.681,0.636,3.0,4.719,83773.0,0.0,0.0,1.391,10.0,4.553,2.196
1,MARSHALL MEDICAL CENTER SOUTH (010005),2016,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.639,7.0,10.957,36262.0,2.114,2786.0,4.0,1.892,1.828,2.0,1.094,36123.0,,0.0,0.416,1.0,2.279,0.439
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2016,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.502,17.0,33.833,62157.0,0.639,11159.0,6.0,9.383,1.173,4.0,3.411,64858.0,,2.0,0.548,1.0,2.899,0.345
3,MIZELL MEMORIAL HOSPITAL (010007),2016,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,0.0,0.0,3.384,6930.0,,48.0,0.0,0.035,,0.0,0.165,6930.0,,,,0.0,0.243,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2016,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,1.0,0.717,3925.0,,28.0,0.0,0.019,,0.0,0.07,3923.0,,,,,,
5,ST VINCENT'S EAST (010011),2016,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.823,61.0,74.155,92564.0,0.778,12366.0,10.0,12.856,0.524,5.0,9.544,92564.0,0.0,0.0,1.126,5.0,5.02,0.996
6,DEKALB REGIONAL MEDICAL CENTER (010012),2016,Acute Care,Proprietary,115.0,,,AL,0.222,2.0,8.995,15996.0,,497.0,0.0,0.341,,0.0,0.526,16045.0,,0.0,0.113,0.0,0.474,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2016,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.803,25.0,31.146,49590.0,0.833,8088.0,5.0,6.001,1.265,3.0,2.371,49590.0,,1.0,0.778,1.0,5.531,0.181
8,CALLAHAN EYE HOSPITAL (010018),2016,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,0.0,0.049,206.0,,,,,,0.0,0.004,206.0,,,,,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2016,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.41,6.0,14.624,25154.0,1.529,1924.0,2.0,1.308,2.988,3.0,1.004,28041.0,,1.0,0.239,1.0,1.979,0.505
10,DALE MEDICAL CENTER (010021),2016,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,0.348,1.0,2.871,9079.0,,331.0,0.0,0.224,,0.0,0.198,9079.0,,,,0.0,0.304,
11,CHEROKEE MEDICAL CENTER (010022),2016,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,0.0,0.575,3137.0,,86.0,0.0,0.055,,0.0,0.074,3137.0,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2016,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.099,62.0,56.409,84354.0,1.968,15673.0,39.0,19.822,1.754,10.0,5.702,95037.0,,1.0,0.854,2.0,3.287,0.608
13,JACKSON HOSPITAL & CLINIC INC (010024),2016,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.999,39.0,39.055,64683.0,3.462,6927.0,17.0,4.911,3.242,9.0,2.776,67631.0,2.825,4.0,1.416,2.0,4.117,0.486
14,EAST ALABAMA MEDICAL CENTER (010029),2016,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.708,36.0,50.834,79432.0,1.152,8502.0,8.0,6.944,0.952,4.0,4.201,84114.0,1.871,6.0,3.206,2.0,4.576,0.437
15,WEDOWEE HOSPITAL (010032),2016,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,0.0,0.333,1173.0,,,,,,0.0,0.024,1173.0,,,,,,
