,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2020,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.324,6.0,18.498,13268.0,0.537,41.0,76.294,102765.0,0.742,7846.0,6.0,8.086,0.548,4.0,7.305,102765.0,0.0,216.0,0.0,1.884,165.0,3.0,4.615,0.65
1,MARSHALL MEDICAL CENTERS (010005),2020,Acute Care,Government - Hospital District or Authority,193.0,,,AL,1.073,5.0,4.66,7928.0,0.565,7.0,12.386,37697.0,0.0,3088.0,0.0,1.988,1.938,3.0,1.548,40143.0,,31.0,0.0,0.244,74.0,1.0,1.97,0.508
2,NORTH ALABAMA MEDICAL CENTER (010006),2020,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.222,2.0,8.992,10270.0,0.426,12.0,28.161,62418.0,0.0,5874.0,0.0,4.781,0.654,3.0,4.588,64819.0,,64.0,0.0,0.57,90.0,2.0,2.439,0.82
3,MIZELL MEMORIAL HOSPITAL (010007),2020,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,0.0,0.507,928.0,0.0,0.0,1.84,4783.0,,180.0,0.0,0.11,,0.0,0.099,4783.0,,,,,7.0,0.0,0.205,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2020,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,2.0,0.155,284.0,,0.0,0.462,2519.0,,66.0,0.0,0.039,,0.0,0.064,2519.0,,,,,,,,
5,ST. VINCENT'S EAST (010011),2020,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.598,9.0,15.062,11694.0,0.343,37.0,107.744,82573.0,0.421,11015.0,5.0,11.88,0.964,8.0,8.297,82573.0,,65.0,1.0,0.604,158.0,4.0,4.301,0.93
6,DEKALB REGIONAL MEDICAL CENTER (010012),2020,Acute Care,Proprietary,115.0,,,AL,0.0,0.0,1.883,2729.0,0.194,1.0,5.166,14041.0,,678.0,0.0,0.478,,0.0,0.446,14041.0,,29.0,0.0,0.298,8.0,1.0,0.194,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2020,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.357,3.0,8.402,9486.0,0.485,10.0,20.625,44995.0,0.182,6693.0,1.0,5.499,0.337,1.0,2.964,44995.0,,69.0,0.0,0.655,156.0,0.0,4.318,0.0
8,CALLAHAN EYE HOSPITAL (010018),2020,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,0.0,0.08,320.0,,,,,,0.0,0.006,320.0,,,,,,,,
9,HELEN KELLER HOSPITAL (010019),2020,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.288,1.0,3.478,4912.0,0.612,7.0,11.43,26660.0,2.597,1669.0,3.0,1.155,1.28,2.0,1.562,28907.0,,43.0,0.0,0.357,48.0,0.0,1.261,0.0
10,DALE MEDICAL CENTER (010021),2020,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,0.0,0.29,547.0,0.447,1.0,2.239,7311.0,,453.0,0.0,0.282,,0.0,0.178,7887.0,,,,,10.0,1.0,0.253,
11,CHEROKEE MEDICAL CENTER (010022),2020,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,0.0,0.066,135.0,0.0,0.0,1.041,3761.0,,36.0,0.0,0.021,,0.0,0.088,3761.0,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2020,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.115,33.0,29.609,16880.0,0.824,45.0,54.628,80840.0,0.817,12400.0,12.0,14.691,1.463,9.0,6.15,88987.0,,75.0,3.0,0.777,157.0,5.0,4.859,1.029
13,JACKSON HOSPITAL & CLINIC INC (010024),2020,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.103,11.0,9.971,11491.0,0.765,36.0,47.073,73674.0,1.098,8788.0,8.0,7.287,1.474,8.0,5.426,76656.0,,76.0,0.0,0.714,178.0,1.0,4.984,0.201
14,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2020,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.167,1.0,5.995,7113.0,0.53,29.0,54.682,81031.0,0.0,5514.0,0.0,4.471,0.393,2.0,5.083,86426.0,0.325,384.0,1.0,3.076,175.0,6.0,4.739,1.266
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2020,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.46,40.0,86.963,44357.0,0.456,105.0,230.237,292920.0,0.606,42863.0,31.0,51.185,1.095,39.0,35.618,340183.0,0.847,825.0,7.0,8.265,733.0,13.0,23.263,0.559
16,COMMUNITY HOSPITAL INC (010034),2020,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,0.0,0.247,502.0,0.0,0.0,2.479,6531.0,,31.0,0.0,0.018,,0.0,0.146,6531.0,,,,,2.0,0.0,0.059,
