,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2015,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,9.0,9.0,3.0,3.0,9.0,6.9
1,MARSHALL MEDICAL CENTER SOUTH (010005),2015,Acute Care,Government - Hospital District or Authority,193.0,,,AL,3.0,1.0,1.0,1.0,2.0,1.65
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2015,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,3.0,5.0,5.0,5.0,4.0,4.35
3,MIZELL MEMORIAL HOSPITAL (010007),2015,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,1.0,,7.0,7.0,1.0,3.1
4,CRENSHAW COMMUNITY HOSPITAL (010008),2015,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,6.0,6.0,,6.0
5,ST VINCENT'S EAST (010011),2015,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,5.0,9.0,1.0,1.0,7.0,4.9
6,DEKALB REGIONAL MEDICAL CENTER (010012),2015,Acute Care,Proprietary,115.0,,,AL,1.0,,9.0,9.0,1.0,3.8
7,SHELBY BAPTIST MEDICAL CENTER (010016),2015,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,3.0,3.0,7.0,7.0,3.0,4.4
8,CALLAHAN EYE HOSPITAL (010018),2015,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,6.0,6.0,,6.0
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2015,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,1.0,1.0,3.0,3.0,1.0,1.7
10,DALE MEDICAL CENTER (010021),2015,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,5.0,,8.0,8.0,5.0,6.05
11,CHEROKEE MEDICAL CENTER (010022),2015,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,5.0,5.0,,5.0
12,BAPTIST MEDICAL CENTER SOUTH (010023),2015,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,5.0,6.0,2.0,2.0,5.5,4.275
13,JACKSON HOSPITAL & CLINIC INC (010024),2015,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,5.0,9.0,3.0,3.0,7.0,5.6
14,EAST ALABAMA MEDICAL CENTER (010029),2015,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,10.0,9.0,6.0,6.0,9.5,8.275
15,WEDOWEE HOSPITAL (010032),2015,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,5.0,5.0,,5.0
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2015,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,7.0,9.0,8.0,8.0,8.0,8.0
17,COMMUNITY HOSPITAL INC (010034),2015,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,1.0,,3.0,3.0,1.0,1.7
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2015,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,2.0,1.0,3.0,3.0,1.5,2.025
19,ANDALUSIA REGIONAL HOSPITAL (010036),2015,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,7.0,,6.0,6.0,7.0,6.65
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2015,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,3.0,,5.0,5.0,3.0,3.7
21,HUNTSVILLE HOSPITAL (010039),2015,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,7.0,9.0,8.0,8.0,8.0,8.0
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2015,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,3.0,3.0,5.0,5.0,3.0,3.7
23,MARION REGIONAL MEDICAL CENTER (010044),2015,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,4.0,4.0,,4.0
24,FAYETTE MEDICAL CENTER (010045),2015,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,6.0,,8.0,8.0,6.0,6.7
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2015,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,8.0,9.0,1.0,1.0,8.5,5.875
26,GEORGIANA MEDICAL CENTER (010047),2015,Acute Care,Proprietary,22.0,,,AL,,,6.0,6.0,,6.0
27,MEDICAL CENTER ENTERPRISE (010049),2015,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,1.0,,3.0,3.0,1.0,1.7
28,GREENE COUNTY HOSPITAL (010051),2015,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,7.0,7.0,,7.0
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2015,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,6.0,6.0,,6.0
30,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2015,Acute Care,Proprietary,114.0,,,AL,3.0,,3.0,3.0,3.0,3.0
31,FLOWERS HOSPITAL (010055),2015,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,7.0,6.0,6.0,6.0,6.5,6.325
32,ST VINCENT'S BIRMINGHAM (010056),2015,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,4.0,5.0,1.0,1.0,4.5,3.275
33,BIBB MEDICAL CENTER (010058),2015,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,7.0,7.0,,7.0
34,LAWRENCE MEDICAL CENTER (010059),2015,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,5.0,5.0,,5.0
35,HIGHLANDS MEDICAL CENTER (010061),2015,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,10.0,,8.0,8.0,10.0,9.3
36,WIREGRASS MEDICAL CENTER (010062),2015,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,6.0,,4.0,4.0,6.0,5.3
37,RUSSELL HOSPITAL (010065),2015,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,1.0,1.0,8.0,8.0,1.0,3.45
38,MEDICAL CENTER BARBOUR (010069),2015,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,1.0,,3.0,3.0,1.0,1.7
39,CLAY COUNTY HOSPITAL (010073),2015,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,1.0,,5.0,5.0,1.0,2.4
40,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2015,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,4.0,8.0,10.0,10.0,6.0,7.4
41,ATHENS-LIMESTONE HOSPITAL (010079),2015,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,6.0,10.0,3.0,3.0,8.0,6.25
42,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2015,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,5.0,7.0,8.0,8.0,6.0,6.7
43,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2015,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,3.0,7.0,6.0,6.0,5.0,5.35
44,NORTHWEST MEDICAL CENTER (010086),2015,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,4.0,4.0,,4.0
45,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2015,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,9.0,5.0,10.0,10.0,7.0,8.05
46,WALKER BAPTIST MEDICAL CENTER (010089),2015,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,7.0,1.0,9.0,9.0,4.0,5.75
47,PROVIDENCE HOSPITAL (010090),2015,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,4.0,3.0,9.0,9.0,3.5,5.425
48,GROVE HILL MEMORIAL HOSPITAL (010091),2015,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,5.0,5.0,,5.0
49,D C H REGIONAL MEDICAL CENTER (010092),2015,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,6.0,6.0,9.0,9.0,6.0,7.05
50,HALE COUNTY HOSPITAL (010095),2015,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,7.0,7.0,,7.0
51,ELMORE COMMUNITY HOSPITAL (010097),2015,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,6.0,6.0,,6.0
52,D W MCMILLAN MEMORIAL HOSPITAL (010099),2015,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,1.0,,6.0,6.0,1.0,2.75
53,THOMAS HOSPITAL (010100),2015,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,6.0,2.0,10.0,10.0,4.0,6.1
54,CITIZENS BAPTIST MEDICAL CENTER (010101),2015,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,1.0,,9.0,9.0,1.0,3.8
55,J PAUL JONES HOSPITAL (010102),2015,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,7.0,7.0,,7.0
56,BAPTIST MEDICAL CENTER-PRINCETON (010103),2015,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,3.0,3.0,10.0,10.0,3.0,5.45
57,TRINITY MEDICAL CENTER (010104),2015,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,5.0,4.0,10.0,10.0,4.5,6.425
58,PRATTVILLE BAPTIST HOSPITAL (010108),2015,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,1.0,1.0,4.0,4.0,1.0,2.05
59,PICKENS COUNTY MEDICAL CENTER (010109),2015,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,3.0,3.0,,3.0
60,BULLOCK COUNTY HOSPITAL (010110),2015,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,6.0,6.0,,6.0
61,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2015,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,5.0,5.0,,5.0
62,MOBILE INFIRMARY (010113),2015,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,6.0,3.0,8.0,8.0,4.5,5.725
63,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2015,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,3.0,2.0,10.0,10.0,2.5,5.125
64,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2015,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,6.0,1.0,3.0,3.0,3.5,3.325
65,MONROE COUNTY HOSPITAL (010120),2015,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,1.0,,6.0,6.0,1.0,2.75
66,LAKELAND COMMUNITY HOSPITAL (010125),2015,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,6.0,6.0,,6.0
67,TROY REGIONAL MEDICAL CENTER (010126),2015,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,5.0,,2.0,2.0,5.0,3.95
68,JACKSON MEDICAL CENTER (010128),2015,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,6.0,6.0,,6.0
69,NORTH BALDWIN INFIRMARY (010129),2015,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,5.0,,6.0,6.0,5.0,5.35
70,ST VINCENT'S ST CLAIR (010130),2015,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,10.0,1.0,5.0,5.0,5.5,5.325
71,CRESTWOOD MEDICAL CENTER (010131),2015,Acute Care,Proprietary,163.0,,,AL,6.0,10.0,6.0,6.0,8.0,7.3
72,HILL HOSPITAL OF SUMTER COUNTY (010138),2015,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,6.0,6.0,,6.0
73,BROOKWOOD MEDICAL CENTER (010139),2015,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,7.0,7.0,9.0,9.0,7.0,7.7
74,SPRINGHILL MEMORIAL HOSPITAL (010144),2015,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,9.0,4.0,9.0,9.0,6.5,7.375
