,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CDI Score,CLABSI Score,MRSA Score,SSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2016,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,10.0,7.0,10.0,6.0,7.0,1.0,1.0,8.0,6.95,Yes
1,MARSHALL MEDICAL CENTER SOUTH (010005),2016,Acute Care,Government - Hospital District or Authority,193.0,,,AL,5.0,2.0,10.0,8.0,2.0,5.0,5.0,5.4,5.34,No
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2016,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,4.0,4.0,5.0,9.0,8.0,7.0,7.0,6.0,6.15,No
3,MIZELL MEMORIAL HOSPITAL (010007),2016,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,1.0,1.0,,,,3.0,3.0,1.0,1.3,No
4,CRENSHAW COMMUNITY HOSPITAL (010008),2016,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,6.0,,,,6.0,6.0,6.0,6.0,No
5,ST VINCENT'S EAST (010011),2016,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,3.0,5.0,5.0,6.0,7.0,8.0,8.0,5.2,5.62,No
6,DEKALB REGIONAL MEDICAL CENTER (010012),2016,Acute Care,Proprietary,115.0,,,AL,1.0,2.0,,1.0,5.0,6.0,6.0,2.25,2.8125,No
7,SHELBY BAPTIST MEDICAL CENTER (010016),2016,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,3.0,4.0,5.0,8.0,4.0,3.0,3.0,4.8,4.53,No
8,CALLAHAN EYE HOSPITAL (010018),2016,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,10.0,6.0,6.0,10.0,9.4,Yes
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2016,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,1.0,4.0,6.0,8.0,4.0,8.0,8.0,4.6,5.11,No
10,DALE MEDICAL CENTER (010021),2016,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,5.0,2.0,,,,9.0,9.0,3.5,4.325,No
11,CHEROKEE MEDICAL CENTER (010022),2016,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,1.0,,,,5.0,5.0,1.0,1.6,No
12,BAPTIST MEDICAL CENTER SOUTH (010023),2016,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,6.0,6.0,8.0,10.0,6.0,1.0,1.0,7.2,6.27,No
13,JACKSON HOSPITAL & CLINIC INC (010024),2016,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,9.0,9.0,10.0,10.0,6.0,3.0,3.0,8.8,7.93,Yes
