,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2019,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.2434,-0.8858,0.4992,0.5608,-0.9737,-0.6505,-0.6505,-0.1112,-0.1921,No
1,MARSHALL MEDICAL CENTER SOUTH (010005),2019,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.0201,-1.0295,-0.3761,0.8634,-0.1626,1.079,1.079,-0.137,0.0454,No
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.6987,-0.9273,0.4309,1.1477,-0.5737,-0.1718,-0.1718,0.1553,0.1062,No
3,MIZELL MEMORIAL HOSPITAL (010007),2019,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,-1.5202,-1.9247,,,,0.4116,0.4116,-1.7225,-1.4024,No
4,CRENSHAW COMMUNITY HOSPITAL (010008),2019,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,-0.0101,-0.0101,,-0.0101,No
5,ST VINCENT'S EAST (010011),2019,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.226,-0.8085,0.8445,-0.6832,-0.6049,1.563,1.563,-0.2052,0.06,No
6,DEKALB REGIONAL MEDICAL CENTER (010012),2019,Acute Care,Proprietary,115.0,,,AL,-1.5202,-1.2064,-1.4878,-1.4406,,-0.4482,-0.4482,-1.4138,-1.2689,No
7,SHELBY BAPTIST MEDICAL CENTER (010016),2019,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,-0.3706,-0.3692,-0.04,-0.618,-1.3462,0.8957,0.8957,-0.5488,-0.3321,No
8,CALLAHAN EYE HOSPITAL (010018),2019,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,-0.1238,-0.1238,,-0.1238,No
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2019,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,-0.6306,-1.0129,1.694,1.4804,0.1438,-0.4339,-0.4339,0.3349,0.2196,No
