,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2020,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.116,-0.4571,1.0325,-0.5533,-1.2403,0.0144,-0.1813,No
1,MARSHALL MEDICAL CENTERS SOUTH CAMPUS (010005),2020,Acute Care,Government - Hospital District or Authority,193.0,,,AL,-0.1406,-0.6434,2.1941,2.2502,-0.1681,0.1869,0.6132,Yes
2,NORTH ALABAMA MEDICAL CENTER (010006),2020,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.7792,-0.7786,0.3263,0.8325,-0.6508,0.2308,0.1232,No
3,MIZELL MEMORIAL HOSPITAL (010007),2020,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,-1.5354,-0.7877,,,,-0.0548,-0.7926,No
4,CRENSHAW COMMUNITY HOSPITAL (010008),2020,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,-0.0047,-0.0047,No
5,ST VINCENT'S EAST (010011),2020,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.6766,-0.6705,0.0419,-0.5373,-0.9547,1.5059,0.0103,No
6,DEKALB REGIONAL MEDICAL CENTER (010012),2020,Acute Care,Proprietary,115.0,,,AL,-1.0356,-1.2595,-1.4459,-1.4453,-1.5,-0.8978,-1.264,No
7,SHELBY BAPTIST MEDICAL CENTER (010016),2020,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,-0.4769,-0.0184,-0.6026,0.2131,-1.1463,0.4032,-0.2713,No
8,UAB CALLAHAN EYE HOSPITAL AUTHORITY (010018),2020,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,-0.0612,-0.0612,No
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2020,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,-1.2864,-0.8448,0.2309,0.6272,0.3274,-0.4278,-0.2289,No
10,DALE MEDICAL CENTER (010021),2020,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,-1.9626,,,,2.2865,0.162,No
11,FLOYD CHEROKEE MEDICAL CENTER (010022),2020,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,0.1319,,,,0.0517,0.0918,No
12,BAPTIST MEDICAL CENTER SOUTH (010023),2020,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.382,0.6307,-0.1849,0.5352,-0.3063,-0.7602,0.0494,No
13,JACKSON HOSPITAL & CLINIC INC (010024),2020,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.9502,1.5773,1.7386,1.2662,0.1635,0.4559,1.0253,Yes
14,EAST ALABAMA MEDICAL CENTER (010029),2020,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.7716,-0.3249,0.9787,-0.0223,-0.6139,-1.3197,-0.0884,No
