,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2023,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.306,0.644,0.476,0.912,0.822,0.0
1,MARSHALL MEDICAL CENTERS (010005),2023,Acute Care,Government - Hospital District or Authority,193.0,,,AL,2.35,0.86,3.311,0.0,0.356,0.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2023,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.602,0.08,0.507,1.64,0.75,0.0
3,MIZELL MEMORIAL HOSPITAL (010007),2023,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,0.41,,,,0.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2023,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,0.0
5,ST. VINCENT'S EAST (010011),2023,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.927,0.607,0.728,1.346,0.472,0.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2023,Acute Care,Proprietary,115.0,,,AL,0.368,0.477,,,0.0,0.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2023,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.58,0.254,0.429,1.664,0.273,0.0
8,CALLAHAN EYE HOSPITAL (010018),2023,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,0.0
9,HELEN KELLER HOSPITAL (010019),2023,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.484,0.483,2.523,4.494,0.0,0.0
10,DALE MEDICAL CENTER (010021),2023,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,0.0,,,,0.0
11,CHEROKEE MEDICAL CENTER (010022),2023,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,0.0,,,,0.0
12,BAPTIST MEDICAL CENTER SOUTH (010023),2023,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.642,1.107,1.803,3.871,1.087,0.0
13,JACKSON HOSPITAL & CLINIC INC (010024),2023,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,2.555,0.811,3.974,1.956,0.361,0.0
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2023,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.906,0.663,2.177,3.013,1.603,0.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2023,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.571,0.398,1.071,1.798,0.446,0.0
16,COMMUNITY HOSPITAL INC (010034),2023,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,0.0,,,,0.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2023,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.733,0.453,1.149,1.287,0.0,0.0
18,ANDALUSIA HEALTH (010036),2023,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.0,0.0,,,,0.0
19,STRINGFELLOW CAMPUS OF NORTHEAST RMC (010038),2023,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.0,0.835,,,,0.0
20,HUNTSVILLE HOSPITAL (010039),2023,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1.037,0.792,1.772,1.686,0.875,0.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2023,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.232,0.039,1.676,1.697,0.0,0.0
22,MARION REGIONAL MEDICAL CENTER (010044),2023,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,0.0
23,FAYETTE MEDICAL CENTER (010045),2023,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,0.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2023,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.135,0.578,2.116,1.936,0.0,0.0
25,MEDICAL CENTER ENTERPRISE (010049),2023,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.0,0.217,4.062,,,0.0
26,GREENE COUNTY HOSPITAL (010051),2023,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,0.0
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2023,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,0.0
28,FLOWERS HOSPITAL (010055),2023,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.688,0.31,1.582,1.028,0.205,0.0
29,ST VINCENT'S BIRMINGHAM (010056),2023,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.114,0.632,0.934,0.857,0.855,0.0
30,BIBB MEDICAL CENTER (010058),2023,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,0.0
31,LAWRENCE MEDICAL CENTER (010059),2023,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,0.0
32,HIGHLANDS MEDICAL CENTER (010061),2023,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,4.896,0.991,,,,0.0
33,WIREGRASS MEDICAL CENTER (010062),2023,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,0.0,,,,0.0
34,RUSSELL MEDICAL CENTER (010065),2023,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.545,3.14,,,,0.0
35,MEDICAL CENTER BARBOUR (010069),2023,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,0.0,,,,0.0
