,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2013,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.9664,17.7,728.0,123.0,17.1,0.9406,23.0,894.0,190.0,21.7,0.9137,16.6,400.0,56.0,15.2
1,MARSHALL MEDICAL CENTER SOUTH (010005),2013,Acute Care,Government - Hospital District or Authority,193.0,,,AL,,,21.0,,,0.9126,25.1,264.0,55.0,22.9,0.9547,18.6,374.0,64.0,17.8
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2013,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.9021,16.5,342.0,47.0,14.9,0.8033,23.0,614.0,101.0,18.5,0.9134,16.5,842.0,122.0,15.0
3,MIZELL MEMORIAL HOSPITAL (010007),2013,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,1.0,,,1.0942,23.4,135.0,40.0,25.6,1.0439,16.5,254.0,46.0,17.2
4,CRENSHAW COMMUNITY HOSPITAL (010008),2013,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,4.0,,,0.9981,20.6,59.0,12.0,20.5,0.9767,15.0,56.0,7.0,14.6
5,ST. VINCENT'S EAST (010011),2013,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.1661,16.9,213.0,48.0,19.7,0.8641,22.9,417.0,74.0,19.8,0.954,18.0,452.0,75.0,17.1
6,DEKALB REGIONAL MEDICAL CENTER (010012),2013,Acute Care,Proprietary,115.0,,,AL,1.014,18.0,79.0,15.0,18.3,1.0674,21.8,160.0,41.0,23.2,0.9585,16.5,210.0,31.0,15.8
7,SHELBY BAPTIST MEDICAL CENTER (010016),2013,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,1.0432,17.5,199.0,38.0,18.2,1.0164,24.1,323.0,80.0,24.5,0.9199,17.5,332.0,49.0,16.1
8,CALLAHAN EYE FOUNDATION HOSPITAL (010018),2013,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,0.0,,,,,0.0,,,,,0.0,,
9,HELEN KELLER HOSPITAL (010019),2013,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,1.0699,20.0,43.0,12.0,21.4,0.8763,23.2,289.0,51.0,20.3,1.0401,17.4,336.0,63.0,18.1
10,DALE MEDICAL CENTER (010021),2013,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,15.0,,,0.9167,24.9,128.0,24.0,22.8,0.9585,18.4,183.0,30.0,17.6
11,CHEROKEE MEDICAL CENTER (010022),2013,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,5.0,,,1.0548,23.2,77.0,22.0,24.5,0.9325,16.9,112.0,14.0,15.7
12,BAPTIST MEDICAL CENTER SOUTH (010023),2013,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.1247,17.9,379.0,81.0,20.1,0.9716,23.8,531.0,121.0,23.1,1.1577,18.9,214.0,55.0,21.9
13,JACKSON HOSPITAL & CLINIC INC (010024),2013,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.9708,18.9,208.0,37.0,18.4,0.9625,23.6,533.0,119.0,22.8,1.0852,17.7,358.0,73.0,19.2
14,GEORGE H. LANIER MEMORIAL HOSPITAL (010025),2013,Acute Care,Voluntary non-profit - Other,187.0,,,AL,1.0321,21.9,56.0,14.0,22.6,1.0145,22.9,220.0,52.0,23.3,1.035,17.3,113.0,22.0,17.9
15,EAST ALABAMA MEDICAL CENTER (010029),2013,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.1398,18.0,321.0,71.0,20.5,1.0172,23.5,781.0,188.0,23.9,0.8217,16.4,260.0,25.0,13.4
16,WEDOWEE HOSPITAL (010032),2013,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,5.0,,,1.0387,23.7,76.0,21.0,24.7,1.0437,19.8,105.0,24.0,20.6
17,UNIVERSITY OF ALABAMA HOSPITAL (010033),2013,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.0347,18.7,262.0,52.0,19.3,1.0353,25.0,513.0,135.0,25.9,1.0969,19.1,343.0,77.0,21.0
18,COMMUNITY HOSPITAL INC (010034),2013,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,15.0,,,1.0075,22.9,115.0,27.0,23.1,0.9782,17.6,111.0,18.0,17.3
19,CULLMAN REGIONAL MEDICAL CENTER (010035),2013,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.9329,21.5,99.0,17.0,20.1,1.0075,24.0,441.0,107.0,24.2,0.929,18.2,432.0,69.0,16.9
20,ANDALUSIA REGIONAL HOSPITAL (010036),2013,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,11.0,,,1.0216,23.5,224.0,55.0,24.0,1.1021,16.5,253.0,51.0,18.2
21,STRINGFELLOW MEMORIAL HOSPITAL (010038),2013,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,1.0399,18.4,65.0,14.0,19.1,0.9886,24.3,232.0,55.0,24.0,0.9776,18.1,250.0,43.0,17.7
22,HUNTSVILLE HOSPITAL (010039),2013,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9369,17.1,1162.0,184.0,16.1,0.9499,25.2,1734.0,412.0,23.9,0.9466,19.0,936.0,165.0,17.9
23,GADSDEN REGIONAL MEDICAL CENTER (010040),2013,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.1279,17.1,219.0,47.0,19.3,1.0041,24.1,471.0,114.0,24.2,1.0496,18.1,459.0,90.0,19.0
24,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON (010044),2013,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,6.0,,,1.0257,24.3,86.0,23.0,25.0,1.0435,16.0,244.0,43.0,16.7
25,FAYETTE MEDICAL CENTER (010045),2013,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,21.0,,,0.934,23.5,123.0,23.0,22.0,0.9989,18.3,203.0,37.0,18.3
26,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2013,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.04,18.2,145.0,29.0,18.9,1.0955,24.7,456.0,129.0,27.1,1.0788,18.4,393.0,82.0,19.8
