,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2015,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.0168,16.3,739.0,123.0,16.5,1.08,19.7,715.0,158.0,21.3,0.8887,21.5,930.0,171.0,19.1,1.0342,5.4,345.0,20.0,5.6,1.018,16.2,393.0,66.0,16.5
1,MARSHALL MEDICAL CENTER SOUTH (010005),2015,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9519,19.9,,,19.0,0.9486,20.7,520.0,98.0,19.6,0.8952,22.8,330.0,61.0,20.4,1.2298,5.8,198.0,18.0,7.2,0.997,17.2,544.0,93.0,17.1
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2015,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.9031,15.0,297.0,35.0,13.6,0.9559,18.1,664.0,112.0,17.3,0.8529,21.1,694.0,116.0,18.0,0.8019,5.1,363.0,11.0,4.1,0.9736,15.6,752.0,113.0,15.2
3,MIZELL MEMORIAL HOSPITAL (010007),2015,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,1.038,17.8,137.0,28.0,18.5,1.0526,20.6,111.0,27.0,21.7,,,,,,0.9891,14.9,201.0,29.0,14.7
4,CRENSHAW COMMUNITY HOSPITAL (010008),2015,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,0.9839,16.1,,,15.9,1.0284,18.5,,,19.1,,,,,,0.9926,13.9,,,13.8
5,ST VINCENT'S EAST (010011),2015,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.0188,15.3,256.0,41.0,15.6,0.983,19.2,298.0,55.0,18.9,0.8961,21.6,379.0,67.0,19.3,1.0763,5.1,398.0,23.0,5.4,0.9654,16.7,529.0,83.0,16.1
6,DEKALB REGIONAL MEDICAL CENTER (010012),2015,Acute Care,Proprietary,115.0,,,AL,1.0097,16.3,94.0,16.0,16.5,1.0261,17.2,278.0,51.0,17.7,1.0202,20.4,163.0,35.0,20.8,1.0173,5.6,,,5.7,1.0947,14.7,259.0,47.0,16.1
7,SHELBY BAPTIST MEDICAL CENTER (010016),2015,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,1.0601,16.4,258.0,48.0,17.4,0.9067,20.4,319.0,52.0,18.5,0.9968,22.7,389.0,88.0,22.7,1.2319,5.2,193.0,16.0,6.4,1.0259,18.1,364.0,69.0,18.5
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2015,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,1.0087,20.3,,,20.4,1.0355,17.7,417.0,79.0,18.3,0.9868,21.6,337.0,71.0,21.3,0.8929,5.0,311.0,12.0,4.5,0.9588,15.9,396.0,58.0,15.3
9,DALE MEDICAL CENTER (010021),2015,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,1.0222,18.6,118.0,24.0,19.0,0.9234,21.9,77.0,11.0,20.2,1.1027,5.6,,,6.2,1.0722,16.5,163.0,33.0,17.7
10,CHEROKEE MEDICAL CENTER (010022),2015,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,0.9267,17.8,123.0,15.0,16.5,0.9759,20.0,,,19.5,,,,,,0.9729,15.5,110.0,15.0,15.1
11,BAPTIST MEDICAL CENTER SOUTH (010023),2015,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.0913,16.4,399.0,76.0,17.9,0.9383,21.1,276.0,50.0,19.8,1.057,22.4,578.0,140.0,23.7,1.0431,5.1,437.0,24.0,5.3,1.085,17.7,198.0,43.0,19.2
12,JACKSON HOSPITAL & CLINIC INC (010024),2015,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.927,17.6,289.0,43.0,16.3,0.9785,20.1,421.0,81.0,19.6,0.9969,21.9,578.0,126.0,21.8,1.1326,4.8,399.0,24.0,5.5,0.9054,17.1,335.0,46.0,15.5
13,EAST ALABAMA MEDICAL CENTER (010029),2015,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.1645,15.5,305.0,63.0,18.0,0.9187,19.0,431.0,69.0,17.4,0.945,20.9,741.0,143.0,19.7,1.0557,4.8,613.0,32.0,5.1,0.9165,16.0,300.0,39.0,14.7
14,WEDOWEE HOSPITAL (010032),2015,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,0.9725,19.3,,,18.8,1.0162,20.8,,,21.1,,,,,,1.0823,16.8,112.0,25.0,18.1
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2015,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.1871,16.6,314.0,71.0,19.7,1.0619,20.9,273.0,65.0,22.2,1.054,22.8,661.0,162.0,24.0,1.2331,5.5,254.0,21.0,6.8,1.2371,16.8,505.0,118.0,20.8
16,COMMUNITY HOSPITAL INC (010034),2015,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,0.9448,18.9,118.0,17.0,17.9,0.995,21.8,126.0,27.0,21.7,,,,,,1.0165,15.8,100.0,17.0,16.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2015,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.937,18.1,103.0,14.0,17.0,1.04,19.5,351.0,74.0,20.3,0.9695,21.4,509.0,104.0,20.8,1.1033,5.1,343.0,21.0,5.6,1.0538,16.8,478.0,88.0,17.8
18,ANDALUSIA REGIONAL HOSPITAL (010036),2015,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,0.9654,19.1,269.0,47.0,18.4,0.9694,21.5,172.0,34.0,20.8,0.9387,5.4,,,5.1,0.983,15.7,259.0,39.0,15.4
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2015,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,1.0542,16.5,53.0,12.0,17.3,1.0111,17.9,350.0,64.0,18.1,1.0912,21.5,230.0,59.0,23.4,1.0944,5.2,,,5.7,1.0391,16.8,228.0,42.0,17.4
20,HUNTSVILLE HOSPITAL (010039),2015,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9892,15.3,1203.0,182.0,15.2,0.9674,19.8,1242.0,236.0,19.2,0.9957,23.3,1799.0,417.0,23.2,1.004,4.9,1730.0,86.0,5.0,0.9265,17.9,984.0,159.0,16.6
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2015,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.0023,15.1,210.0,32.0,15.2,0.9474,19.8,505.0,91.0,18.8,0.9947,22.7,470.0,106.0,22.6,1.3853,5.5,331.0,31.0,7.6,0.9577,16.9,535.0,84.0,16.2
22,MARION REGIONAL MEDICAL CENTER (010044),2015,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,0.9684,18.6,129.0,21.0,18.0,0.9498,21.7,,,20.6,,,,,,0.9288,14.7,162.0,18.0,13.7
23,FAYETTE MEDICAL CENTER (010045),2015,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,1.056,19.9,195.0,45.0,21.0,0.9749,21.5,112.0,22.0,20.9,,,,,,1.0785,17.2,186.0,39.0,18.5
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2015,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.1003,16.5,93.0,22.0,18.1,1.0065,19.2,452.0,88.0,19.4,1.1124,22.6,417.0,111.0,25.1,1.2005,5.4,211.0,17.0,6.5,1.1047,17.4,358.0,75.0,19.2
