,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2023,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.9958,14.5498,319.0,46.0,14.4888,0.9836,11.3202,165.0,18.0,11.1341,0.9903,19.3765,202.0,38.0,19.1885,1.0551,21.8333,757.0,178.0,23.0374,1.0301,4.4481,,,4.5819,0.9568,17.7701,437.0,71.0,17.0029
1,MARSHALL MEDICAL CENTERS (010005),2023,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9603,16.9033,,,16.2327,,,,,,0.9034,18.2089,235.0,31.0,16.4506,1.0057,20.0336,157.0,32.0,20.1475,0.9816,4.1886,,,4.1113,0.9777,16.0472,361.0,55.0,15.6895
2,NORTH ALABAMA MEDICAL CENTER (010006),2023,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,1.1127,12.5406,312.0,49.0,13.9536,1.3316,11.9544,109.0,24.0,15.9187,0.9027,18.2945,235.0,31.0,16.5144,0.944,20.7534,550.0,104.0,19.592,1.1885,4.1172,246.0,15.0,4.8932,1.1525,16.5034,538.0,113.0,19.0197
3,MIZELL MEMORIAL HOSPITAL (010007),2023,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,0.9979,18.3236,72.0,13.0,18.2845,1.1129,19.3933,51.0,18.0,21.5828,,,,,,0.9628,13.273,,,12.7792
4,ST. VINCENT'S EAST (010011),2023,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.062,12.8204,139.0,22.0,13.6151,1.1654,11.9876,61.0,12.0,13.9706,1.0372,19.2283,101.0,23.0,19.9435,0.9148,21.1272,299.0,52.0,19.3276,1.0233,4.3622,,,4.4638,1.0074,16.4818,346.0,58.0,16.6045
5,DEKALB REGIONAL MEDICAL CENTER (010012),2023,Acute Care,Proprietary,115.0,,,AL,1.0363,11.7924,,,12.2206,,,,,,1.02,14.2676,,,14.5533,1.0162,18.5498,106.0,21.0,18.8503,0.9313,3.0256,,,2.8177,0.9752,14.7605,214.0,29.0,14.3938
6,SHELBY BAPTIST MEDICAL CENTER (010016),2023,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.9436,14.8656,100.0,11.0,14.0266,1.0279,11.8594,,,12.19,0.9592,20.9822,96.0,16.0,20.1264,0.975,22.3531,228.0,48.0,21.7946,0.9737,4.2752,,,4.1629,1.0486,16.274,214.0,40.0,17.0641
7,HELEN KELLER HOSPITAL (010019),2023,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,,,,,0.9865,17.5253,220.0,37.0,17.2882,0.9615,19.3353,261.0,46.0,18.5911,1.169,3.6363,220.0,12.0,4.2507,1.0546,15.6073,274.0,49.0,16.4587
8,DALE MEDICAL CENTER (010021),2023,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,,,,,,0.9672,19.8043,,,19.1543,0.9804,20.6338,,,20.2293,,,,,,1.0713,15.2136,49.0,13.0,16.2986
9,CHEROKEE MEDICAL CENTER (010022),2023,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,0.9884,15.6058,,,15.4245,,,,,,,,,,,1.003,12.6012,,,12.6392
10,BAPTIST MEDICAL CENTER SOUTH (010023),2023,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.1399,15.7621,216.0,46.0,17.9666,0.9532,11.3007,,,10.7718,0.9953,20.8999,122.0,25.0,20.8012,0.9107,21.7591,364.0,66.0,19.8167,0.9969,4.3489,278.0,12.0,4.3355,1.0155,18.3484,144.0,28.0,18.6332
11,JACKSON HOSPITAL & CLINIC INC (010024),2023,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.0566,14.8341,160.0,28.0,15.6742,1.1035,13.1791,108.0,18.0,14.5428,0.9809,18.6911,139.0,24.0,18.335,1.0003,20.7603,337.0,70.0,20.7661,1.0037,3.7845,,,3.7985,1.0227,17.0735,271.0,49.0,17.4605
12,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2023,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.0048,13.8758,113.0,16.0,13.9423,0.8324,10.0761,,,8.3873,1.0692,19.9736,209.0,50.0,21.355,1.0249,20.5931,324.0,70.0,21.1066,0.914,4.2483,374.0,13.0,3.883,0.9737,17.0241,217.0,34.0,16.5765
13,UNIVERSITY OF ALABAMA HOSPITAL (010033),2023,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.0646,15.8176,277.0,50.0,16.84,0.9444,13.0373,303.0,36.0,12.3122,1.0129,19.7272,140.0,29.0,19.9822,1.0131,22.0675,676.0,152.0,22.3564,1.347,4.7226,91.0,11.0,6.3611,1.0813,17.2048,366.0,74.0,18.6034
14,COMMUNITY HOSPITAL INC (010034),2023,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,,,,,,0.981,16.1033,,,15.7978,1.0049,16.6904,,,16.7722,,,,,,,,,,
15,CULLMAN REGIONAL MEDICAL CENTER (010035),2023,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.9367,14.1173,,,13.223,,,,,,1.0339,18.7593,167.0,35.0,19.3957,1.1015,19.2329,414.0,94.0,21.186,1.0399,4.6443,,,4.8295,1.152,15.8539,353.0,75.0,18.2637
16,ANDALUSIA HEALTH (010036),2023,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,,,,,,0.9608,21.1612,119.0,21.0,20.3322,1.0025,22.1405,229.0,51.0,22.1968,1.0769,4.849,,,5.2221,1.0051,17.1778,160.0,28.0,17.2647
17,STRINGFELLOW CAMPUS OF NORTHEAST RMC (010038),2023,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,,,,,,,,,,,0.9711,17.759,100.0,15.0,17.2456,0.9478,17.9068,,,16.9722,1.1882,4.0552,,,4.8185,0.9644,15.7295,,,15.1699
18,HUNTSVILLE HOSPITAL (010039),2023,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9839,13.1775,770.0,99.0,12.9653,0.8528,11.1595,289.0,24.0,9.5173,0.9984,18.46,565.0,104.0,18.4296,0.9776,20.9409,1243.0,253.0,20.4729,1.2514,4.0325,776.0,43.0,5.0462,1.0202,16.3013,1296.0,217.0,16.63
19,GADSDEN REGIONAL MEDICAL CENTER (010040),2023,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.0463,15.2756,185.0,32.0,15.9831,0.9205,11.5017,,,10.5874,1.0129,20.7892,166.0,36.0,21.0576,1.0224,23.5058,285.0,70.0,24.0313,0.8026,4.8607,,,3.9013,0.9413,18.6634,322.0,52.0,17.5677
20,MARION REGIONAL MEDICAL CENTER (010044),2023,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,,,0.9597,18.0385,,,17.3118,0.9511,17.8178,,,16.9463,,,,,,0.996,14.5728,,,14.5142
21,FAYETTE MEDICAL CENTER (010045),2023,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,,,,,,,,1.0225,17.0098,,,17.3933,0.9707,18.3678,,,17.8301,,,,,,0.9864,14.6442,,,14.4453
22,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2023,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.0618,15.9918,52.0,12.0,16.9794,,,,,,0.9451,19.1956,140.0,21.0,18.1412,0.9803,22.617,227.0,49.0,22.1721,0.9642,5.0872,,,4.9052,1.0919,18.6169,208.0,49.0,20.328
23,MEDICAL CENTER ENTERPRISE (010049),2023,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,,,,,,0.9695,17.185,86.0,12.0,16.6604,1.0504,19.3018,78.0,19.0,20.2754,1.0407,3.9192,,,4.0788,1.0574,14.9974,151.0,28.0,15.8579
24,LAKE MARTIN COMMUNITY HOSPITAL (010052),2023,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0369,15.2508,,,15.8133
25,FLOWERS HOSPITAL (010055),2023,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.0289,13.4499,264.0,38.0,13.8383,1.166,11.8458,,,13.8119,0.9497,19.1905,181.0,29.0,18.2244,0.9543,20.5357,388.0,73.0,19.5979,1.042,3.8807,329.0,14.0,4.0437,0.9753,15.6068,347.0,51.0,15.222
26,ST VINCENT'S BIRMINGHAM (010056),2023,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.0264,14.454,166.0,26.0,14.8353,1.0904,11.3583,73.0,11.0,12.3849,1.0037,18.3532,145.0,27.0,18.4215,0.997,20.7775,392.0,81.0,20.7144,0.6949,3.8382,754.0,14.0,2.667,1.02,16.26,365.0,62.0,16.5855
27,BIBB MEDICAL CENTER (010058),2023,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,,,,,,,,,,,,,,,,0.9501,15.2873,,,14.5243
28,LAWRENCE MEDICAL CENTER (010059),2023,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,1.0135,18.8693,,,19.1243,,,,,,,,,,,1.0255,18.3462,59.0,13.0,18.8133
29,HIGHLANDS MEDICAL CENTER (010061),2023,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,,,,,,0.9961,18.3925,89.0,16.0,18.3201,0.9467,18.8711,,,17.8644,1.1186,3.6608,,,4.0951,1.0168,15.4147,88.0,15.0,15.6744
30,WIREGRASS MEDICAL CENTER (010062),2023,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,,,,,0.9526,18.8729,,,17.9777,0.9508,21.3005,,,20.2524,,,,,,0.9819,16.3414,,,16.0452
31,RUSSELL MEDICAL CENTER (010065),2023,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.9901,15.2269,,,15.076,,,,,,0.9794,17.7017,,,17.3373,0.9567,21.1457,123.0,22.0,20.2311,,,,,,1.0235,16.4051,103.0,19.0,16.7909
32,MEDICAL CENTER BARBOUR (010069),2023,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,,,,,,,,,,,0.9976,18.8522,,,18.8065,,,,,,1.0011,13.4373,,,13.4527
33,CLAY COUNTY HOSPITAL (010073),2023,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,,,,,0.9886,15.3535,,,15.1788,0.9498,17.1418,,,16.2806,,,,,,0.9972,12.3814,,,12.3465
34,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2023,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.9077,15.4563,193.0,22.0,14.0295,,,,,,0.9706,18.6791,239.0,41.0,18.1301,0.9538,20.8627,302.0,57.0,19.8992,1.1585,3.9805,206.0,12.0,4.6115,0.9118,17.2828,272.0,36.0,15.7582
35,ATHENS LIMESTONE HOSPITAL (010079),2023,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,,,,,,0.9777,17.2869,87.0,13.0,16.9015,1.0567,20.3507,146.0,35.0,21.504,0.9191,3.8118,,,3.5033,1.0555,14.7546,174.0,31.0,15.5728
