,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2015,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,6.5,41.7,5.2,7.8,3.3,1.6
1,MARSHALL MEDICAL CENTER SOUTH (010005),2015,Acute Care,Government - Hospital District or Authority,193.0,,,AL,11.9,53.8,3.8,5.7,3.9,10.6
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2015,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,10.7,44.1,7.8,,3.9,4.3
3,MIZELL MEMORIAL HOSPITAL (010007),2015,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,31.3,,13.7,,,4.1
4,CRENSHAW COMMUNITY HOSPITAL (010008),2015,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,2.5,,7.5,,,0.0
5,ST VINCENT'S EAST (010011),2015,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,4.9,28.6,,4.4,2.6,10.7
6,DEKALB REGIONAL MEDICAL CENTER (010012),2015,Acute Care,Proprietary,115.0,,,AL,10.8,,4.8,5.1,1.8,8.8
7,SHELBY BAPTIST MEDICAL CENTER (010016),2015,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,33.6,33.3,9.4,6.8,4.0,2.0
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2015,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,19.9,40.7,4.2,,6.0,0.3
9,DALE MEDICAL CENTER (010021),2015,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,22.7,,9.6,2.2,3.9,1.0
10,CHEROKEE MEDICAL CENTER (010022),2015,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,5.6,,2.0,,,4.3
11,BAPTIST MEDICAL CENTER SOUTH (010023),2015,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,11.2,44.4,4.9,,3.8,1.0
12,JACKSON HOSPITAL & CLINIC INC (010024),2015,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,11.1,45.1,3.0,,2.6,0.8
13,EAST ALABAMA MEDICAL CENTER (010029),2015,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,51.2,47.5,7.6,4.5,2.9,1.9
14,WEDOWEE HOSPITAL (010032),2015,Acute Care,Government - Hospital District or Authority,30.0,,,AL,2.1,,,,,
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2015,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,19.3,46.2,10.5,5.1,3.4,0.0
16,COMMUNITY HOSPITAL INC (010034),2015,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,30.9,,11.9,,1.2,10.5
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2015,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,7.3,45.0,4.4,3.4,3.9,11.6
18,ANDALUSIA REGIONAL HOSPITAL (010036),2015,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,9.2,55.2,5.9,,4.2,12.2
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2015,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,5.8,38.1,17.1,6.9,,13.2
20,HUNTSVILLE HOSPITAL (010039),2015,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,29.6,40.5,6.8,6.4,5.1,0.6
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2015,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,15.0,49.8,8.1,,2.3,10.6
22,MARION REGIONAL MEDICAL CENTER (010044),2015,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,8.3,,,,1.2,4.7
23,FAYETTE MEDICAL CENTER (010045),2015,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,1.3,51.7,18.1,,,1.4
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2015,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,3.6,,,,,1.9
25,GEORGIANA MEDICAL CENTER (010047),2015,Acute Care,Proprietary,22.0,,,AL,6.1,,,,13.8,
26,MEDICAL CENTER ENTERPRISE (010049),2015,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,2.0,56.1,8.7,5.1,5.1,0.8
27,GREENE COUNTY HOSPITAL (010051),2015,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,0.0,
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2015,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,1.8,,,,,
29,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2015,Acute Care,Proprietary,114.0,,,AL,1.9,,15.3,,,0.0
30,FLOWERS HOSPITAL (010055),2015,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,5.3,46.2,5.9,7.1,2.7,0.8
31,ST VINCENT'S BIRMINGHAM (010056),2015,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,4.3,46.8,6.1,8.8,3.4,0.2
32,BIBB MEDICAL CENTER (010058),2015,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,18.1,,10.8,,,1.4
33,LAWRENCE MEDICAL CENTER (010059),2015,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,4.3,,15.1,,,2.7
34,HIGHLANDS MEDICAL CENTER (010061),2015,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,4.8,45.7,,1.8,5.6,0.0
35,WIREGRASS MEDICAL CENTER (010062),2015,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,51.2,,8.9,,,0.0
36,RUSSELL HOSPITAL (010065),2015,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,7.4,42.9,9.4,,2.2,2.6
37,MEDICAL CENTER BARBOUR (010069),2015,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,6.8,,5.1,5.1,4.8,6.5
38,CLAY COUNTY HOSPITAL (010073),2015,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,6.2,,7.8,6.3,,10.2
39,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2015,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,10.1,45.5,13.0,5.9,2.8,0.5
40,ATHENS-LIMESTONE HOSPITAL (010079),2015,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,22.2,42.9,11.7,10.3,5.8,0.6
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2015,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,17.5,38.8,6.8,6.3,3.3,9.4
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2015,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,10.6,41.3,11.5,6.2,1.9,4.7
43,NORTHWEST MEDICAL CENTER (010086),2015,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,6.9,50.9,8.8,5.1,,3.6
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2015,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,29.0,,,,,9.8
45,WALKER BAPTIST MEDICAL CENTER (010089),2015,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,9.9,46.0,5.9,,,13.0
46,PROVIDENCE HOSPITAL (010090),2015,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,38.6,40.3,12.4,,2.2,7.6
47,GROVE HILL MEMORIAL HOSPITAL (010091),2015,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,44.2,,6.1,,,39.6
48,D C H REGIONAL MEDICAL CENTER (010092),2015,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,2.3,51.3,13.0,4.0,2.5,0.2
49,HALE COUNTY HOSPITAL (010095),2015,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,0.0,,,,1.0,
50,ELMORE COMMUNITY HOSPITAL (010097),2015,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,22.8,,5.7,,5.4,
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2015,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,32.4,51.2,8.3,3.7,,0.8
52,THOMAS HOSPITAL (010100),2015,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,9.7,38.0,7.9,,1.9,5.7
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2015,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,13.1,,4.3,3.2,,5.0
54,J PAUL JONES HOSPITAL (010102),2015,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,22.7,,9.4,,,
55,BAPTIST MEDICAL CENTER-PRINCETON (010103),2015,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,12.4,56.5,5.3,,4.1,8.4
56,TRINITY MEDICAL CENTER (010104),2015,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,7.0,37.5,6.3,5.5,5.3,1.2
57,PRATTVILLE BAPTIST HOSPITAL (010108),2015,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,36.5,48.2,5.7,,1.8,0.4
58,PICKENS COUNTY MEDICAL CENTER (010109),2015,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,2.9,,13.0,,,0.0
59,BULLOCK COUNTY HOSPITAL (010110),2015,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,4.7,,5.5,,,1.9
60,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2015,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,12.9,45.7,3.7,,,7.5
61,MOBILE INFIRMARY (010113),2015,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,67.5,48.0,9.8,,2.4,0.1
62,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2015,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,5.6,41.3,12.9,9.2,,0.0
63,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2015,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,6.8,47.1,5.5,,1.9,2.2
64,MONROE COUNTY HOSPITAL (010120),2015,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,7.5,,16.0,4.5,1.2,1.3
65,LAKELAND COMMUNITY HOSPITAL (010125),2015,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,9.0,,16.8,2.9,,
66,TROY REGIONAL MEDICAL CENTER (010126),2015,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,22.6,,4.7,10.0,1.6,0.9
67,JACKSON MEDICAL CENTER (010128),2015,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,35.6,,11.3,1.7,,
68,NORTH BALDWIN INFIRMARY (010129),2015,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,34.9,50.0,13.6,,,1.5
69,ST VINCENT'S ST CLAIR (010130),2015,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,18.6,47.1,4.4,5.4,,15.1
70,CRESTWOOD MEDICAL CENTER (010131),2015,Acute Care,Proprietary,163.0,,,AL,5.8,43.2,5.9,,5.7,0.0
71,HILL HOSPITAL OF SUMTER COUNTY (010138),2015,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,0.0,
72,BROOKWOOD MEDICAL CENTER (010139),2015,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,14.0,48.8,,4.8,0.9,0.2
73,SPRINGHILL MEMORIAL HOSPITAL (010144),2015,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,38.7,,8.0,,1.5,0.3
74,RMC JACKSONVILLE (010146),2015,Acute Care,Proprietary,65.0,,,AL,49.3,,14.9,,5.2,0.0
75,EVERGREEN MEDICAL CENTER (010148),2015,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,50.0,49.0,12.3,,,17.1
76,BAPTIST MEDICAL CENTER EAST (010149),2015,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,31.2,49.0,,,4.6,0.0
77,L V STABLER MEMORIAL HOSPITAL (010150),2015,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,5.7,,5.7,,5.2,0.0
78,SHOALS HOSPITAL (010157),2015,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,32.1,40.0,24.6,,,5.3
79,RUSSELLVILLE HOSPITAL (010158),2015,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,19.7,53.3,14.9,,,18.7
80,COOSA VALLEY MEDICAL CENTER (010164),2015,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,6.7,52.1,6.2,2.0,2.6,4.8
81,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2015,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,10.1,,,,9.4,
82,ATMORE COMMUNITY HOSPITAL (010169),2015,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,20.0,,6.2,0.8,,
83,WASHINGTON COUNTY HOSPITAL (011300),2015,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,15.2,,2.0,,,11.6
84,RED BAY HOSPITAL (011302),2015,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,3.7,,1.2,,,
85,CHOCTAW GENERAL HOSPITAL (011304),2015,Critical Access,Voluntary non-profit - Private,25.0,,,AL,3.1,,,,,1.6
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2015,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,4.6,,,0.0,2.0,0.7
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2015,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,7.3,,14.6,,1.5,0.9
88,BARTLETT REGIONAL HOSPITAL (020008),2015,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,2.4,,10.3,,,0.0
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2015,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,7.0,52.5,8.3,6.3,0.5,1.5
90,ALASKA REGIONAL HOSPITAL (020017),2015,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,6.2,,4.1,,,0.0
91,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2015,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,6.7,52.3,10.0,4.7,,0.0
92,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2015,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,12.1,,,
93,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2015,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,6.1,,4.7,,,0.0
94,SOUTH PENINSULA HOSPITAL (021313),2015,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,4.3,,6.1,,,0.0
95,ABRAZO MARYVALE CAMPUS (030001),2015,Acute Care,Proprietary,231.0,,,AZ,0.0,,,,,
96,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS (030002),2015,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,16.2,,9.5,5.9,5.0,0.6
97,TUCSON MEDICAL CENTER (030006),2015,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,2.0,,6.2,4.8,6.2,5.7
98,VERDE VALLEY MEDICAL CENTER (030007),2015,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,2.7,44.3,4.4,3.0,2.8,0.2
99,CARONDELET ST  MARYS HOSPITAL (030010),2015,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,3.0,,,2.7,5.0,4.6
100,CARONDELET ST JOSEPH'S HOSPITAL (030011),2015,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,2.7,,,3.8,4.3,1.5
101,YAVAPAI REGIONAL MEDICAL CENTER (030012),2015,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,14.3,,8.4,3.1,1.8,15.8
102,YUMA REGIONAL MEDICAL CENTER (030013),2015,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,53.3,46.3,7.7,8.1,3.3,8.6
103,JOHN C LINCOLN MEDICAL CENTER (030014),2015,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,5.9,37.2,9.2,6.2,5.7,2.2
104,BANNER CASA GRANDE MEDICAL CENTER (030016),2015,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,29.7,46.4,7.6,3.1,,8.9
105,MARICOPA MEDICAL CENTER (030022),2015,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,5.5,,11.9,,,0.8
106,FLAGSTAFF MEDICAL CENTER (030023),2015,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,1.0,40.0,,3.0,1.1,3.6
107,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2015,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,3.5,31.0,13.9,4.8,2.4,0.4
108,ABRAZO CENTRAL CAMPUS (030030),2015,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,3.1,,9.3,3.0,,5.6
109,PAYSON REGIONAL MEDICAL CENTER (030033),2015,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,16.4,48.8,4.7,5.2,4.3,6.7
110,CHANDLER REGIONAL MEDICAL CENTER (030036),2015,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,1.9,,18.7,1.4,3.3,0.2
111,ST LUKE'S MEDICAL CENTER (030037),2015,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,1.5,,,,,
112,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2015,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.0,,,9.2,2.7,2.3
113,CANYON VISTA MEDICAL CENTER (030043),2015,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,14.7,42.1,8.1,3.6,2.0,11.5
114,KINGMAN REGIONAL MEDICAL CENTER (030055),2015,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,19.2,48.7,8.7,3.1,2.9,15.4
115,BANNER BOSWELL MEDICAL CENTER (030061),2015,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,2.8,,10.4,13.2,3.8,0.2
116,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2015,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,12.2,49.3,7.4,4.4,2.6,19.1
117,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2015,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,2.7,49.4,,6.7,6.9,0.0
118,BANNER DESERT MEDICAL CENTER (030065),2015,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,2.1,,,5.1,4.8,0.7
119,MT GRAHAM REGIONAL MEDICAL CENTER (030068),2015,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,3.8,,6.7,4.7,,2.6
120,HAVASU REGIONAL MEDICAL CENTER (030069),2015,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,9.6,37.5,7.7,4.0,2.3,4.9
