,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.1,45.9,4.8
1,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,5.0,41.5,1.3
2,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,4.4,27.9,0.7
3,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,1.1,,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,1.9,,
5,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,3.2,,
6,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,1.7,,1.6
7,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,5.1,,
8,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,4.8,34.7,
9,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,1.0,,
10,CHEROKEE MEDICAL CENTER (010022),2021,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,0.0,,
11,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.9,42.9,
12,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.1,,2.2
13,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,3.8,46.0,6.2
14,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,5.2,43.9,6.7
15,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,2.2,,1.5
16,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,2.4,,
17,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,2.4,,
18,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,5.5,27.0,3.1
19,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,2.3,43.5,
20,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,0.0,,
21,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,1.6,,
22,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.7,,
23,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,1.6,,
24,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.9,52.5,5.4
25,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,2.1,51.2,
26,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,0.0,,
27,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,3.8,,
28,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,5.0,,
29,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,3.8,,
30,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,2.7,,
31,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,1.7,,
32,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,0.0,,
33,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,4.3,37.5,3.5
