,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),Breast Cancer Screening Recall Rates (OP-39),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2022,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,5.7,5.5,42.5,6.8
1,MARSHALL MEDICAL CENTERS (010005),2022,Acute Care,Government - Hospital District or Authority,193.0,,,AL,13.8,6.7,54.5,3.8
2,NORTH ALABAMA MEDICAL CENTER (010006),2022,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,11.0,9.4,41.2,1.7
3,MIZELL MEMORIAL HOSPITAL (010007),2022,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,5.9,25.8,,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2022,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,2.1,,,
5,ST. VINCENT'S EAST (010011),2022,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,5.3,,,
6,DEKALB REGIONAL MEDICAL CENTER (010012),2022,Acute Care,Proprietary,115.0,,,AL,4.6,2.2,,2.9
7,SHELBY BAPTIST MEDICAL CENTER (010016),2022,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,14.3,8.3,53.6,
8,HELEN KELLER HOSPITAL (010019),2022,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,13.3,7.3,42.2,
9,DALE MEDICAL CENTER (010021),2022,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,4.5,6.0,,3.5
10,CHEROKEE MEDICAL CENTER (010022),2022,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,0.6,8.2,,
11,BAPTIST MEDICAL CENTER SOUTH (010023),2022,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,5.2,4.9,57.1,3.5
12,JACKSON HOSPITAL & CLINIC INC (010024),2022,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,6.8,5.1,46.3,4.4
13,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2022,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,15.5,7.2,49.2,3.2
14,UNIVERSITY OF ALABAMA HOSPITAL (010033),2022,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,18.9,10.0,37.9,3.6
15,COMMUNITY HOSPITAL INC (010034),2022,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,9.6,,
16,CULLMAN REGIONAL MEDICAL CENTER (010035),2022,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,5.4,8.0,44.2,5.7
17,ANDALUSIA HEALTH (010036),2022,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,4.8,9.2,45.2,
18,STRINGFELLOW CAMPUS OF NORTHEAST RMC (010038),2022,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,6.7,,,
19,HUNTSVILLE HOSPITAL (010039),2022,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,15.7,6.0,48.3,4.9
20,GADSDEN REGIONAL MEDICAL CENTER (010040),2022,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,7.0,4.3,49.6,
21,MARION REGIONAL MEDICAL CENTER (010044),2022,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,3.1,,,
22,FAYETTE MEDICAL CENTER (010045),2022,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,2.0,15.7,61.9,
23,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2022,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,4.5,9.1,,
24,MEDICAL CENTER ENTERPRISE (010049),2022,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,4.8,5.4,62.2,2.3
25,FLOWERS HOSPITAL (010055),2022,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,4.4,5.5,39.7,6.0
26,ST VINCENT'S BIRMINGHAM (010056),2022,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,7.9,6.1,54.8,5.3
27,BIBB MEDICAL CENTER (010058),2022,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,6.3,4.4,,
28,LAWRENCE MEDICAL CENTER (010059),2022,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,7.0,11.1,,
29,HIGHLANDS MEDICAL CENTER (010061),2022,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,8.0,,,
30,WIREGRASS MEDICAL CENTER (010062),2022,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,10.2,2.5,,
31,RUSSELL MEDICAL CENTER (010065),2022,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,8.6,5.6,,
32,MEDICAL CENTER BARBOUR (010069),2022,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,3.5,5.2,,
33,CLAY COUNTY HOSPITAL (010073),2022,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,0.0,0.7,,
