,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2016,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,707.0,21804.0,754.0,15659.0,404.0,15089.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2016,Acute Care,Government - Hospital District or Authority,193.0,,,AL,53.0,23171.0,347.0,16376.0,646.0,14384.0
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2016,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,353.0,20946.0,670.0,14880.0,660.0,15066.0
3,MIZELL MEMORIAL HOSPITAL (010007),2016,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,93.0,13676.0,170.0,12844.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2016,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,25.0,15274.0,61.0,14482.0
5,ST VINCENT'S EAST (010011),2016,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,240.0,22720.0,304.0,15686.0,454.0,15654.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2016,Acute Care,Proprietary,115.0,,,AL,143.0,22997.0,145.0,16722.0,193.0,15449.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2016,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,198.0,21663.0,368.0,15445.0,308.0,14399.0
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2016,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,33.0,21431.0,344.0,16066.0,329.0,14819.0
9,DALE MEDICAL CENTER (010021),2016,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,83.0,17053.0,126.0,14645.0
10,CHEROKEE MEDICAL CENTER (010022),2016,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,32.0,16913.0,103.0,12981.0
