,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2019,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,668.0,24216.0,828.0,17716.0,284.0,24984.0,531.0,19203.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2019,Acute Care,Government - Hospital District or Authority,193.0,,,AL,70.0,22697.0,298.0,16867.0,253.0,22051.0,669.0,15973.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,426.0,25008.0,642.0,16820.0,384.0,24385.0,772.0,17403.0
3,MIZELL MEMORIAL HOSPITAL (010007),2019,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,82.0,14914.0,30.0,22066.0,209.0,16469.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2019,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,25.0,14545.0,,,47.0,14702.0
5,ST VINCENT'S EAST (010011),2019,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,164.0,25847.0,375.0,17171.0,103.0,23346.0,404.0,18101.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2019,Acute Care,Proprietary,115.0,,,AL,93.0,24148.0,130.0,16266.0,,,294.0,17565.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2019,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,204.0,25153.0,296.0,19147.0,174.0,22017.0,322.0,19505.0
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2019,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,33.0,23899.0,316.0,17702.0,403.0,22841.0,343.0,17853.0
9,DALE MEDICAL CENTER (010021),2019,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,72.0,17538.0,,,113.0,18025.0
10,FLOYD CHEROKEE MEDICAL CENTER (010022),2019,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,44.0,13649.0
11,BAPTIST MEDICAL CENTER SOUTH (010023),2019,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,295.0,23841.0,459.0,18130.0,576.0,20327.0,205.0,19581.0
12,JACKSON HOSPITAL & CLINIC INC (010024),2019,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,255.0,28400.0,399.0,17032.0,300.0,21146.0,448.0,18506.0
13,EAST ALABAMA MEDICAL CENTER (010029),2019,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,240.0,24928.0,647.0,15497.0,692.0,20970.0,492.0,16208.0
14,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2019,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,37.0,15031.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2019,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,311.0,22444.0,688.0,16097.0,243.0,24311.0,585.0,17961.0
16,COMMUNITY HOSPITAL INC (010034),2019,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,75.0,15211.0,,,73.0,16558.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2019,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,157.0,23756.0,499.0,16812.0,247.0,21673.0,486.0,17651.0
18,ANDALUSIA HEALTH (010036),2019,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,47.0,23725.0,172.0,15124.0,97.0,21389.0,258.0,16273.0
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2019,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,70.0,24351.0,116.0,17101.0,56.0,26151.0,138.0,18596.0
20,HUNTSVILLE HOSPITAL (010039),2019,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1056.0,23459.0,1547.0,17196.0,1667.0,19403.0,1409.0,17215.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2019,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,230.0,26813.0,360.0,20246.0,435.0,24379.0,537.0,19553.0
22,MARION REGIONAL MEDICAL CENTER (010044),2019,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,51.0,15502.0,,,185.0,16137.0
