,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2017,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,,,60.0,372.0,68.0,34.0,94.0,50.0,,,,,81.0,3791.0,0.0,24.0,95.0,554.0,,,5.0,58189.0,,,,,,,89.0,559.0,195.0,365.0,279.0,559.0,92.0,151.0,0.0,41.0,86.0,14.0,76.0,58.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,98.0,289.0,23.0,1480.0,86.0,186.0,94.0,285.0,,,,,83.0,1665.0,0.0,13.0,97.0,916.0,,,2.0,70529.0,12.0,310.0,,,,,70.0,1127.0,112.0,1432.0,237.0,1230.0,67.0,425.0,2.0,178.0,,,94.0,17.0
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2017,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,,,11.0,384.0,68.0,111.0,81.0,101.0,,,,,87.0,2075.0,0.0,13.0,100.0,520.0,,,1.0,43373.0,,,,,,,72.0,462.0,143.0,360.0,217.0,519.0,69.0,145.0,0.0,35.0,,,93.0,30.0
3,MIZELL MEMORIAL HOSPITAL (010007),2017,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,96.0,45.0,41.0,1509.0,0.0,164.0,0.0,63.0,,,,,53.0,300.0,,,99.0,297.0,,,2.0,11842.0,8.0,49.0,,,,,75.0,549.0,126.0,1315.0,152.0,549.0,69.0,46.0,,,,,,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2017,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,85.0,13.0,24.0,385.0,47.0,15.0,82.0,22.0,,,,,43.0,207.0,,,91.0,286.0,,,0.0,6644.0,2.0,12.0,,,,,61.0,269.0,85.0,374.0,188.0,269.0,43.0,53.0,,,,,,
5,ST VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,,,55.0,370.0,84.0,51.0,41.0,64.0,,,,,53.0,1539.0,0.0,11.0,82.0,542.0,,,3.0,58181.0,,,,,,,66.0,590.0,170.0,372.0,286.0,603.0,74.0,220.0,0.0,23.0,,,91.0,11.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2017,Acute Care,Proprietary,115.0,,,AL,100.0,66.0,32.0,425.0,100.0,109.0,100.0,66.0,,,,,90.0,754.0,,,97.0,303.0,,,2.0,24963.0,2.0,67.0,,,,,52.0,387.0,134.0,400.0,196.0,387.0,58.0,187.0,9.0,54.0,,,,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2017,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,,,18.0,408.0,84.0,62.0,100.0,67.0,,,64.0,11.0,76.0,2017.0,7.0,14.0,100.0,599.0,,,1.0,45255.0,,,,,,,99.0,785.0,180.0,388.0,295.0,787.0,64.0,210.0,0.0,113.0,100.0,13.0,95.0,21.0
8,CALLAHAN EYE HOSPITAL (010018),2017,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,20.0,383.0,,,,,,,,,65.0,409.0,,,27.0,37.0,,,0.0,6101.0,,,,,,,54.0,14.0,101.0,380.0,162.0,19.0,,,,,,,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,99.0,138.0,26.0,430.0,95.0,95.0,100.0,96.0,,,,,82.0,1303.0,,,96.0,474.0,,,1.0,42701.0,0.0,143.0,,,66.0,14.0,57.0,630.0,111.0,411.0,186.0,630.0,62.0,186.0,5.0,120.0,,,,
