,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,62.0,85.0,,,32.0,379.0,47.0,32.0,92.0,83.0,,,,,,,86.0,4457.0,0.0,18.0,92.0,552.0,,,6.0,54907.0,,,,,,,,,74.0,583.0,163.0,366.0,237.0,583.0,70.0,173.0,3.0,36.0
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,61.0,120.0,,,32.0,380.0,47.0,32.0,92.0,83.0,,,,,,,86.0,4298.0,0.0,19.0,92.0,552.0,,,6.0,54907.0,,,,,,,,,68.0,601.0,160.0,368.0,231.0,601.0,69.0,174.0,3.0,36.0
2,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,67.0,304.0,99.0,266.0,21.0,1529.0,79.0,275.0,97.0,396.0,100.0,14.0,,,86.0,14.0,80.0,1643.0,,,98.0,928.0,,,2.0,71472.0,15.0,275.0,,,,,194.0,40.0,77.0,1107.0,114.0,1458.0,246.0,1224.0,66.0,488.0,2.0,188.0
3,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,66.0,396.0,99.0,285.0,22.0,1543.0,79.0,275.0,97.0,396.0,100.0,14.0,,,81.0,16.0,86.0,1952.0,,,98.0,928.0,,,2.0,71472.0,14.0,302.0,,,,,219.0,33.0,80.0,1113.0,115.0,1483.0,245.0,1218.0,68.0,471.0,2.0,184.0
4,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,26.0,65.0,,,12.0,383.0,68.0,104.0,83.0,111.0,,,,,,,89.0,2224.0,5.0,21.0,99.0,524.0,,,2.0,42671.0,,,,,,,,,68.0,522.0,144.0,364.0,224.0,551.0,68.0,148.0,0.0,45.0
5,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,27.0,86.0,,,12.0,382.0,68.0,104.0,83.0,111.0,,,,,,,93.0,2283.0,5.0,21.0,99.0,524.0,,,2.0,42671.0,,,,,,,,,68.0,511.0,147.0,358.0,225.0,542.0,67.0,150.0,0.0,46.0
6,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,73.0,22.0,100.0,60.0,34.0,1357.0,100.0,307.0,0.0,307.0,,,,,46.0,13.0,54.0,274.0,,,99.0,321.0,100.0,157.0,4.0,11923.0,3.0,62.0,,,,,184.0,46.0,66.0,544.0,112.0,1170.0,135.0,544.0,72.0,75.0,,
7,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,79.0,28.0,100.0,59.0,33.0,1075.0,100.0,307.0,0.0,307.0,,,,,38.0,13.0,43.0,213.0,,,99.0,321.0,100.0,157.0,4.0,11923.0,3.0,63.0,,,,,176.0,36.0,68.0,560.0,114.0,999.0,140.0,560.0,70.0,78.0,,
8,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,79.0,29.0,17.0,387.0,62.0,16.0,91.0,22.0,,,,,,,53.0,158.0,,,95.0,283.0,,,0.0,7196.0,5.0,27.0,,,,,108.0,14.0,84.0,167.0,93.0,368.0,204.0,167.0,41.0,53.0,,
9,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,33.0,15.0,82.0,22.0,19.0,387.0,62.0,16.0,91.0,22.0,,,,,,,57.0,143.0,,,95.0,283.0,,,0.0,7196.0,4.0,22.0,,,,,128.0,12.0,85.0,188.0,93.0,366.0,204.0,188.0,42.0,42.0,,
