,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2019,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,62.0,123.0,74.0,72.0,97.0,156.0,,,,,,,86.0,4298.0,0.0,35.0,92.0,538.0,,,3.0,58085.0,,,,,,,73.0,626.0,168.0,368.0,244.0,626.0,0.0,32.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2019,Acute Care,Government - Hospital District or Authority,193.0,,,AL,67.0,329.0,78.0,232.0,96.0,508.0,90.0,31.0,,,92.0,25.0,86.0,1952.0,,,99.0,862.0,,,2.0,73737.0,14.0,311.0,53.0,12.0,267.0,39.0,74.0,1161.0,115.0,1450.0,246.0,1205.0,0.0,172.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,27.0,95.0,74.0,85.0,85.0,102.0,,,,,,,93.0,2283.0,0.0,17.0,99.0,523.0,,,1.0,42186.0,,,,,,,66.0,523.0,144.0,354.0,226.0,549.0,0.0,43.0
3,MIZELL MEMORIAL HOSPITAL (010007),2019,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,91.0,33.0,58.0,305.0,0.0,129.0,,,,,43.0,14.0,43.0,213.0,,,99.0,293.0,100.0,203.0,3.0,12529.0,8.0,50.0,,,150.0,44.0,70.0,496.0,111.0,1218.0,119.0,500.0,,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2019,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,38.0,16.0,58.0,24.0,50.0,24.0,,,,,,,57.0,143.0,,,89.0,286.0,,,0.0,7248.0,8.0,20.0,,,140.0,11.0,75.0,339.0,88.0,362.0,188.0,349.0,,
5,ST VINCENT'S EAST (010011),2019,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,23.0,171.0,,,100.0,63.0,58.0,36.0,,,,,89.0,1993.0,13.0,15.0,69.0,527.0,,,5.0,57646.0,,,,,292.0,11.0,90.0,565.0,198.0,366.0,360.0,571.0,16.0,25.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2019,Acute Care,Proprietary,115.0,,,AL,82.0,118.0,100.0,87.0,100.0,95.0,,,,,,,89.0,714.0,,,96.0,310.0,,,2.0,25648.0,3.0,56.0,,,216.0,17.0,59.0,435.0,123.0,392.0,205.0,435.0,10.0,48.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2019,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,66.0,187.0,96.0,49.0,100.0,38.0,,,,,64.0,11.0,94.0,1767.0,0.0,15.0,100.0,597.0,,,1.0,39298.0,6.0,11.0,,,268.0,12.0,77.0,734.0,190.0,391.0,261.0,736.0,0.0,102.0
8,UAB CALLAHAN EYE HOSPITAL AUTHORITY (010018),2019,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,,,,,,,96.0,479.0,,,46.0,52.0,,,0.0,6501.0,,,,,,,30.0,25.0,113.0,379.0,165.0,27.0,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2019,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,81.0,453.0,89.0,107.0,100.0,84.0,,,,,64.0,22.0,84.0,1428.0,15.0,13.0,100.0,565.0,,,2.0,43481.0,7.0,194.0,51.0,23.0,140.0,14.0,65.0,703.0,121.0,398.0,193.0,703.0,0.0,90.0
