,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2020,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,60.0,102.0,81.0,64.0,98.0,162.0,,,,,,,97.0,4817.0,,,3.0,57844.0,,,,,103.0,655.0,178.0,349.0,0.0,24.0,88.0,73.0,,,77.0,104.0,92.0,63.0
1,MARSHALL MEDICAL CENTERS (010005),2020,Acute Care,Government - Hospital District or Authority,193.0,,,AL,68.0,330.0,82.0,204.0,94.0,413.0,100.0,12.0,,,71.0,24.0,91.0,1915.0,,,2.0,71631.0,62.0,18.0,206.0,48.0,82.0,1034.0,115.0,1408.0,3.0,193.0,92.0,253.0,84.0,58.0,79.0,331.0,97.0,213.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2020,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,33.0,105.0,81.0,94.0,87.0,125.0,,,,,,,93.0,2456.0,,,1.0,41321.0,,,234.0,14.0,110.0,552.0,152.0,362.0,0.0,35.0,76.0,49.0,,,60.0,105.0,67.0,43.0
3,MIZELL MEMORIAL HOSPITAL (010007),2020,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,98.0,52.0,13.0,82.0,90.0,40.0,,,,,,,,,100.0,151.0,3.0,1116.0,,,158.0,62.0,62.0,525.0,108.0,1295.0,,,98.0,52.0,,,100.0,52.0,100.0,49.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2020,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,43.0,14.0,59.0,34.0,97.0,30.0,,,,,,,48.0,189.0,,,1.0,7012.0,,,118.0,17.0,86.0,396.0,91.0,335.0,,,,,,,79.0,14.0,,
5,ST. VINCENT'S EAST (010011),2020,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,40.0,746.0,,,100.0,53.0,64.0,25.0,,,8.0,12.0,,,,,5.0,54286.0,,,,,140.0,494.0,178.0,275.0,,,71.0,489.0,55.0,119.0,70.0,747.0,91.0,350.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2020,Acute Care,Proprietary,115.0,,,AL,88.0,145.0,100.0,80.0,100.0,132.0,,,,,,,77.0,671.0,,,2.0,24667.0,,,,,65.0,411.0,132.0,396.0,10.0,41.0,95.0,133.0,,,92.0,145.0,99.0,100.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2020,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,74.0,214.0,96.0,80.0,99.0,74.0,,,,,100.0,17.0,,,,,1.0,23463.0,,,152.0,14.0,84.0,732.0,191.0,387.0,0.0,105.0,93.0,172.0,95.0,44.0,82.0,215.0,97.0,137.0
8,CALLAHAN EYE HOSPITAL (010018),2020,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,,,,,,,,,,,0.0,6755.0,,,,,32.0,20.0,117.0,283.0,,,,,,,,,,
9,HELEN KELLER HOSPITAL (010019),2020,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,82.0,383.0,81.0,141.0,100.0,88.0,,,,,71.0,28.0,95.0,1644.0,,,2.0,39775.0,47.0,13.0,,,67.0,665.0,116.0,372.0,4.0,84.0,93.0,342.0,95.0,73.0,92.0,384.0,97.0,303.0
