,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,60.0,47.0,90.0,52.0,,,,,,,99.0,4119.0,,,3.0,59762.0,,,,,168.0,169.0,0.0,21.0,94.0,31.0,,,74.0,47.0,83.0,24.0
1,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,60.0,124.0,97.0,180.0,100.0,21.0,,,,,93.0,2133.0,,,2.0,68296.0,,,278.0,11.0,139.0,478.0,1.0,111.0,86.0,97.0,76.0,29.0,81.0,126.0,96.0,82.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,32.0,56.0,92.0,89.0,,,,,,,82.0,2390.0,,,1.0,47004.0,,,,,182.0,176.0,0.0,18.0,83.0,24.0,,,59.0,56.0,68.0,28.0
3,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,100.0,26.0,92.0,169.0,,,,,,,72.0,312.0,,,2.0,12514.0,,,184.0,43.0,119.0,565.0,,,100.0,26.0,,,100.0,26.0,100.0,23.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,42.0,31.0,,,,,,,46.0,125.0,,,0.0,7485.0,,,,,126.0,170.0,,,,,,,,,,
5,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,30.0,103.0,,,75.0,40.0,,,,,76.0,1783.0,,,3.0,52482.0,,,,,174.0,173.0,,,58.0,59.0,,,61.0,103.0,93.0,41.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,80.0,40.0,100.0,96.0,,,,,,,82.0,666.0,,,3.0,23955.0,,,,,170.0,189.0,11.0,27.0,97.0,34.0,,,90.0,40.0,93.0,28.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,63.0,59.0,95.0,78.0,,,,,,,94.0,1604.0,,,2.0,39685.0,,,,,208.0,191.0,0.0,41.0,84.0,44.0,100.0,11.0,78.0,59.0,94.0,31.0
8,CALLAHAN EYE HOSPITAL (010018),2021,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,,,,,88.0,581.0,,,1.0,7001.0,,,,,146.0,189.0,,,,,,,,,,
9,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,78.0,117.0,90.0,163.0,,,,,,,90.0,1465.0,,,1.0,36765.0,,,,,135.0,182.0,7.0,41.0,92.0,100.0,96.0,27.0,90.0,118.0,94.0,87.0
