,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2023,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,,,,,,,,,52.0,146.0,90.0,221.0,90.0,215.0,81.0,16.0,,,,,97.0,3795.0,,,100.0,880.0,3.0,51079.0,,,245.0,15.0,195.0,346.0,82.7,2411.0,,,75.0,51.0,97.0,31.0,67.0,147.0,89.0,72.0,97.0,3757.0
1,MARSHALL MEDICAL CENTERS (010005),2023,Acute Care,Government - Hospital District or Authority,193.0,,,AL,95.0,1711.0,100.0,131.0,,,84.0,43.0,63.0,235.0,91.0,46.0,,,99.0,108.0,,,67.0,15.0,90.0,2593.0,,,,,3.0,54503.0,54.0,15.0,286.0,26.0,144.0,992.0,82.2,2489.0,,,82.0,117.0,76.0,85.0,83.0,235.0,97.0,156.0,,
2,NORTH ALABAMA MEDICAL CENTER (010006),2023,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,,,,,,,,,63.0,129.0,99.0,135.0,,,88.0,75.0,,,80.0,15.0,64.0,2292.0,,,96.0,868.0,1.0,41137.0,,,214.0,12.0,148.0,364.0,69.5,2685.0,16.0,1801.0,84.0,61.0,75.0,40.0,80.0,129.0,97.0,77.0,85.0,2910.0
3,MIZELL MEMORIAL HOSPITAL (010007),2023,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,96.0,52.0,,,,,63.0,68.0,,,,,61.0,318.0,,,,,3.0,11120.0,,,152.0,50.0,127.0,1283.0,56.6,248.0,,,,,,,98.0,52.0,98.0,51.0,,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2023,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,30.0,77.0,15.0,74.0,,,,,,,,,,,52.0,23.0,,,,,46.0,125.0,,,,,0.0,6205.0,,,,,129.0,347.0,74.5,142.0,16.0,32.0,,,,,,,,,71.0,142.0
5,ST. VINCENT'S EAST (010011),2023,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,,,,,,,,,36.0,217.0,93.0,116.0,99.0,111.0,18.0,83.0,,,12.0,16.0,75.0,1944.0,,,91.0,1000.0,5.0,42062.0,,,296.0,12.0,203.0,336.0,87.1,1716.0,,,45.0,91.0,76.0,29.0,67.0,217.0,88.0,92.0,90.0,3045.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2023,Acute Care,Proprietary,115.0,,,AL,,,,,,,,,89.0,110.0,,,,,97.0,78.0,,,,,58.0,620.0,,,94.0,267.0,5.0,18661.0,,,206.0,15.0,162.0,380.0,,,,,80.0,25.0,94.0,16.0,95.0,110.0,100.0,87.0,91.0,496.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2023,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,,,,,,,,,72.0,138.0,96.0,101.0,,,100.0,67.0,,,,,94.0,1707.0,,,96.0,776.0,5.0,33785.0,,,272.0,24.0,186.0,391.0,88.5,1193.0,19.0,1884.0,78.0,45.0,100.0,30.0,81.0,138.0,96.0,71.0,87.0,1997.0
8,CALLAHAN EYE HOSPITAL (010018),2023,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,,,,,,,,,,,,,,,95.0,585.0,,,,,0.0,7392.0,,,,,113.0,372.0,94.9,877.0,,,,,,,,,,,71.0,34.0
9,HELEN KELLER HOSPITAL (010019),2023,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,92.0,26.0,79.0,261.0,,,,,91.0,122.0,,,27.0,11.0,86.0,1601.0,,,,,1.0,34201.0,,,275.0,12.0,137.0,369.0,84.8,1257.0,,,83.0,114.0,95.0,82.0,90.0,261.0,96.0,179.0,63.0,2120.0
10,DALE MEDICAL CENTER (010021),2023,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,,,,22.0,46.0,,,,,79.0,28.0,,,,,55.0,416.0,,,90.0,77.0,3.0,15490.0,,,269.0,11.0,106.0,393.0,77.3,411.0,,,40.0,20.0,,,76.0,46.0,78.0,32.0,77.0,372.0
11,CHEROKEE MEDICAL CENTER (010022),2023,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,,,,,0.0,21.0,,,,,76.0,271.0,,,,,2.0,8747.0,,,,,139.0,360.0,91.5,437.0,,,,,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2023,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,,,,,79.0,63.0,82.0,217.0,27.0,98.0,90.0,242.0,95.0,237.0,99.0,70.0,,,,,91.0,4347.0,,,,,3.0,39256.0,,,344.0,13.0,174.0,385.0,92.6,2676.0,,,60.0,20.0,,,46.0,98.0,87.0,30.0,,
13,JACKSON HOSPITAL & CLINIC INC (010024),2023,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,,,,,,,90.0,106.0,70.0,321.0,96.0,118.0,93.0,117.0,100.0,42.0,,,,,35.0,3060.0,,,,,2.0,50443.0,,,184.0,68.0,164.0,1486.0,74.3,2754.0,,,87.0,121.0,91.0,97.0,82.0,321.0,92.0,182.0,,
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2023,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,,,,,,,99.0,89.0,65.0,320.0,100.0,102.0,100.0,94.0,98.0,167.0,,,,,81.0,3702.0,,,,,6.0,52249.0,,,351.0,24.0,178.0,597.0,89.8,3708.0,,,82.0,123.0,90.0,68.0,85.0,322.0,82.0,196.0,,
