,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2019,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1114.0,22.6,4659.0,15.4,604.0,16.8,493.0,19.8,301.0,4.7,742.0,16.2,279.0,15.6,742.0,-0.8,1114.0,17.8,604.0,-7.8,205.0,13.9
1,MARSHALL MEDICAL CENTER SOUTH (010005),2019,Acute Care,Government - Hospital District or Authority,193.0,,,AL,341.0,21.3,2131.0,14.5,697.0,16.3,636.0,17.6,257.0,4.1,53.0,14.5,,,53.0,-30.3,341.0,6.3,697.0,20.4,222.0,14.2
2,NORTH ALABAMA MEDICAL CENTER (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,793.0,20.4,3610.0,14.0,836.0,16.4,632.0,19.5,399.0,4.7,458.0,15.1,136.0,12.8,458.0,3.8,793.0,-6.4,836.0,9.7,580.0,13.9
3,MIZELL MEMORIAL HOSPITAL (010007),2019,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,79.0,23.2,463.0,15.7,211.0,17.9,140.0,20.2,30.0,4.5,,,,,,,79.0,12.1,211.0,22.3,71.0,15.6
4,CRENSHAW COMMUNITY HOSPITAL (010008),2019,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,124.0,14.7,49.0,15.9,31.0,18.9,,,,,,,,,,,49.0,-8.9,,
5,ST VINCENT'S EAST (010011),2019,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,449.0,22.9,1898.0,15.3,420.0,17.2,307.0,18.0,103.0,4.2,165.0,15.0,99.0,13.9,165.0,16.2,449.0,52.5,420.0,54.0,,
6,DEKALB REGIONAL MEDICAL CENTER (010012),2019,Acute Care,Proprietary,115.0,,,AL,158.0,22.3,747.0,15.2,356.0,16.2,196.0,19.9,,,87.0,15.7,,,87.0,7.7,159.0,13.4,356.0,0.6,261.0,16.3
7,SHELBY BAPTIST MEDICAL CENTER (010016),2019,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,384.0,20.5,1941.0,15.6,377.0,16.4,238.0,20.2,182.0,4.1,210.0,14.5,66.0,11.3,210.0,-13.0,384.0,18.5,377.0,11.6,,
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2019,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,360.0,21.6,2060.0,14.6,381.0,16.4,420.0,20.0,438.0,4.7,,,,,,,360.0,16.6,381.0,26.0,353.0,15.5
9,DALE MEDICAL CENTER (010021),2019,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,79.0,22.4,244.0,15.0,127.0,16.0,111.0,18.1,,,,,,,,,79.0,2.9,127.0,-12.5,81.0,14.0
