,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,904.0,22.8,1805.0,15.5,503.0,16.3,310.0,21.2,165.0,4.9,424.0,16.2,193.0,13.5,192.0,6.7,424.0,6.5,406.0,116.0,904.0,16.1,691.0,244.0,503.0,-7.1,462.0,117.0,11.3,511.0,14.1,1003.0,0.9
1,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,223.0,22.8,764.0,14.7,468.0,16.1,378.0,18.1,168.0,3.9,36.0,15.1,,,120.0,5.4,36.0,-17.4,36.0,10.0,223.0,15.5,199.0,69.0,468.0,12.9,431.0,115.0,9.5,1086.0,14.8,514.0,0.9
2,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,615.0,19.5,1563.0,15.7,663.0,18.6,381.0,18.2,306.0,4.8,363.0,15.1,120.0,13.8,,,363.0,0.1,344.0,78.0,615.0,-8.1,505.0,146.0,663.0,39.2,591.0,161.0,,1908.0,13.6,502.0,1.0
3,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,70.0,23.2,144.0,15.7,147.0,17.1,103.0,20.0,,,,,,,,,,,,,70.0,8.0,59.0,26.0,147.0,13.9,133.0,36.0,,184.0,18.4,31.0,1.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,38.0,15.3,26.0,16.3,25.0,19.4,,,,,,,,,,,,,,,,,26.0,2.0,26.0,12.0,,81.0,18.7,,
5,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,351.0,22.0,918.0,16.3,349.0,16.8,166.0,19.5,43.0,4.2,126.0,17.2,64.0,15.3,,,126.0,33.4,121.0,38.0,351.0,64.8,303.0,101.0,349.0,27.4,316.0,76.0,,96.0,16.6,248.0,1.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,141.0,22.8,265.0,15.6,301.0,16.2,108.0,20.1,29.0,3.8,68.0,16.3,,,,,68.0,-3.1,68.0,17.0,141.0,20.4,120.0,48.0,301.0,-5.3,263.0,68.0,,765.0,16.9,141.0,0.8
7,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,241.0,21.4,808.0,15.4,291.0,17.0,143.0,20.0,134.0,4.1,129.0,14.5,49.0,11.5,,,129.0,0.0,123.0,20.0,241.0,-4.8,203.0,66.0,291.0,9.3,266.0,63.0,,122.0,16.3,310.0,0.9
8,CALLAHAN EYE HOSPITAL (010018),2021,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,1.0
9,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,308.0,20.6,778.0,15.8,328.0,16.4,336.0,20.8,306.0,5.3,,,,,48.0,7.7,,,,,308.0,-0.5,250.0,71.0,328.0,7.6,297.0,73.0,13.1,1188.0,16.8,359.0,0.9
