,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2022,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,755.0,22.4,3058.0,14.2,202.0,19.9,98.0,4.2,319.0,14.9,165.0,11.7,142.0,4.3,319.0,1.9,305.0,81.0,755.0,21.8,618.0,211.0,436.0,-1.5,412.0,99.0,7.4,350.0,14.5,361.0,0.8
1,MARSHALL MEDICAL CENTERS (010005),2022,Acute Care,Government - Hospital District or Authority,193.0,,,AL,157.0,21.4,1258.0,13.9,234.0,17.6,178.0,4.0,38.0,14.4,,,80.0,4.4,38.0,4.7,38.0,9.0,157.0,9.3,145.0,48.0,361.0,2.2,328.0,98.0,6.5,1008.0,15.6,143.0,0.9
2,NORTH ALABAMA MEDICAL CENTER (010006),2022,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,550.0,20.0,2555.0,14.2,235.0,17.7,246.0,4.8,312.0,16.5,109.0,15.6,,,312.0,25.9,301.0,80.0,550.0,-2.3,456.0,136.0,538.0,42.3,499.0,147.0,,1589.0,13.2,229.0,0.9
3,MIZELL MEMORIAL HOSPITAL (010007),2022,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,51.0,23.7,272.0,15.1,72.0,19.7,,,,,,,,,,,,,51.0,36.3,44.0,22.0,99.0,-12.6,91.0,23.0,,133.0,18.2,33.0,1.1
4,CRENSHAW COMMUNITY HOSPITAL (010008),2022,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,93.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,70.0,18.4,,
5,ST. VINCENT'S EAST (010011),2022,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,298.0,19.2,1524.0,14.6,101.0,20.6,36.0,4.2,139.0,16.0,61.0,13.8,,,139.0,13.0,134.0,40.0,298.0,17.9,268.0,73.0,346.0,7.7,317.0,85.0,,82.0,15.1,53.0,1.1
6,DEKALB REGIONAL MEDICAL CENTER (010012),2022,Acute Care,Proprietary,115.0,,,AL,106.0,21.6,428.0,15.2,52.0,20.3,42.0,3.8,59.0,15.5,,,,,59.0,-1.2,59.0,13.0,106.0,11.3,95.0,37.0,214.0,-6.7,192.0,48.0,,589.0,16.1,78.0,1.1
7,SHELBY BAPTIST MEDICAL CENTER (010016),2022,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,228.0,20.7,1273.0,14.2,96.0,18.8,107.0,4.0,100.0,14.1,36.0,12.2,,,100.0,22.6,100.0,15.0,228.0,4.5,195.0,66.0,214.0,23.6,200.0,49.0,,128.0,16.3,132.0,0.9
8,CALLAHAN EYE HOSPITAL (010018),2022,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,25.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,0.9
9,HELEN KELLER HOSPITAL (010019),2022,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,261.0,20.4,1278.0,15.2,220.0,19.5,220.0,4.7,,,,,28.0,4.0,,,,,261.0,0.8,232.0,68.0,274.0,17.6,249.0,69.0,7.8,1028.0,16.8,125.0,0.9
