,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2020-07-01,2021-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
1,04,2023,2020-07-01,2021-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
2,07,2023,2021-07-01,2022-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
3,10,2023,2021-07-01,2022-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
4,01,2022,2019-07-01,2019-12-31,Abdomen CT Use of Contrast Material (OP-10) (Score)
5,04,2022,2019-07-01,2019-12-31,Abdomen CT Use of Contrast Material (OP-10) (Score)
6,07,2022,2019-07-01,2019-12-31,Abdomen CT Use of Contrast Material (OP-10) (Score)
7,10,2022,2020-07-01,2021-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
8,01,2021,2018-07-01,2019-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
9,03,2021,2018-07-01,2019-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
10,04,2021,2018-07-01,2019-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
11,07,2021,2019-07-01,2019-12-31,Abdomen CT Use of Contrast Material (OP-10) (Score)
12,10,2021,2019-07-01,2019-12-31,Abdomen CT Use of Contrast Material (OP-10) (Score)
13,10,2020,2018-07-01,2019-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
14,07,2020,2018-07-01,2019-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
15,04,2020,2017-07-01,2018-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
16,01,2020,2017-07-01,2018-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
17,10,2019,2017-07-01,2018-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
18,07,2019,2017-07-01,2018-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
19,04,2019,2016-07-01,2017-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
20,03,2019,2016-07-01,2017-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
21,10,2018,2016-07-01,2017-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
22,07,2018,2016-07-01,2017-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
23,05,2018,2015-07-01,2016-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
24,01,2018,2015-07-01,2016-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
25,10,2017,2015-07-01,2016-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
26,07,2017,2015-07-01,2016-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
27,04,2017,2014-07-01,2015-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
28,12,2016,2014-07-01,2015-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
29,11,2016,2014-07-01,2015-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
30,08,2016,2014-07-01,2015-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
31,05,2016,2013-07-01,2014-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
32,12,2015,2013-07-01,2014-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
33,10,2015,2013-07-01,2014-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
34,07,2015,2013-07-01,2014-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
35,05,2015,2012-07-01,2013-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
36,04,2015,2012-07-01,2013-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
37,01,2015,2012-07-01,2013-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
38,12,2014,2012-07-01,2013-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
39,10,2014,2012-07-01,2013-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
40,07,2014,2012-07-01,2013-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
41,07,2022,2020-07-01,2021-06-30,Abdomen CT Use of Contrast Material (OP-10) (Score)
42,01,2023,2020-07-01,2021-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
43,04,2023,2020-07-01,2021-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
44,07,2023,2021-07-01,2022-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
45,10,2023,2021-07-01,2022-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
46,01,2022,2019-07-01,2019-12-31,Breast Cancer Screening Recall Rates (OP-39) (Score)
47,04,2022,2019-07-01,2019-12-31,Breast Cancer Screening Recall Rates (OP-39) (Score)
48,07,2022,2019-07-01,2019-12-31,Breast Cancer Screening Recall Rates (OP-39) (Score)
49,10,2022,2020-07-01,2021-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
50,01,2021,2018-07-01,2019-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
51,03,2021,2018-07-01,2019-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
52,04,2021,2018-07-01,2019-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
53,07,2021,2019-07-01,2019-12-31,Breast Cancer Screening Recall Rates (OP-39) (Score)
54,10,2021,2019-07-01,2019-12-31,Breast Cancer Screening Recall Rates (OP-39) (Score)
55,10,2020,2018-07-01,2019-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
56,07,2020,2018-07-01,2019-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
57,04,2020,2017-07-01,2018-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
58,01,2020,2017-07-01,2018-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
59,10,2019,2017-07-01,2018-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
60,07,2019,2017-07-01,2018-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
61,04,2019,2016-07-01,2017-06-30,Breast Cancer Screening Recall Rates (OP-39) (Score)
