,file_month,file_year,Start Date,End Date,Measure Name
0,10,2015,2014-01-01,2014-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
1,07,2015,2013-10-01,2014-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
2,05,2015,2013-07-01,2014-06-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
3,04,2015,2013-07-01,2014-06-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
4,01,2015,2013-04-01,2013-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
5,12,2014,2013-04-01,2013-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
6,10,2014,2012-10-01,2013-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
7,07,2014,2012-10-01,2013-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
8,01,2023,2021-01-01,2021-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
9,04,2023,2021-01-01,2021-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
10,07,2023,2021-01-01,2021-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
11,10,2023,2021-01-01,2021-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
12,11,2016,2015-01-01,2015-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
13,08,2016,2014-10-01,2015-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
14,05,2016,2014-07-01,2015-06-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
15,12,2015,2014-04-01,2015-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
16,01,2015,2013-04-01,2014-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
17,12,2014,2013-04-01,2014-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
18,10,2014,2013-01-01,2013-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
19,07,2014,2013-01-01,2013-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
20,11,2016,2015-01-01,2015-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
21,01,2023,2021-04-01,2022-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
22,04,2023,2021-07-01,2022-06-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
23,07,2023,2021-10-01,2022-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
24,10,2023,2021-10-01,2022-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
25,01,2022,2020-07-01,2021-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
26,04,2022,2020-07-01,2021-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
27,07,2022,2020-10-01,2021-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
28,10,2022,2021-01-01,2021-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
29,01,2021,2019-01-01,2019-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
30,03,2021,2019-01-01,2019-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
31,04,2021,2019-01-01,2019-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
32,07,2021,2019-10-01,2020-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
33,10,2021,2020-07-01,2020-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
34,10,2020,2019-01-01,2019-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
35,07,2020,2018-10-01,2019-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
36,04,2020,2018-07-01,2019-06-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
37,01,2020,2018-04-01,2019-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
38,10,2019,2018-01-01,2018-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
39,07,2019,2017-10-01,2018-09-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
40,04,2019,2017-07-01,2018-06-30,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
41,03,2019,2017-04-01,2018-03-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
42,10,2018,2017-01-01,2017-12-31,ACEI or ARB for LVSD (HF_3 - Heart Failure) (Score)
