,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2018-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
1,04,2023,2018-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
2,07,2023,2019-07-01,2022-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
3,10,2023,2019-07-01,2022-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
4,01,2022,2017-07-01,2019-12-01,AMI 30-Day Mortality Rate (MORT 30 AMI)
5,04,2022,2017-07-01,2019-12-01,AMI 30-Day Mortality Rate (MORT 30 AMI)
6,07,2022,2018-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
7,10,2022,2018-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
8,01,2021,2016-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
9,03,2021,2016-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
10,04,2021,2016-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
11,07,2021,2017-07-01,2019-12-01,AMI 30-Day Mortality Rate (MORT 30 AMI)
12,10,2021,2017-07-01,2019-12-01,AMI 30-Day Mortality Rate (MORT 30 AMI)
13,10,2020,2016-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
14,07,2020,2016-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
15,04,2020,2015-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
16,01,2020,2015-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
17,10,2019,2015-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
18,07,2019,2015-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
19,04,2019,2014-07-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
20,03,2019,2014-07-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
21,10,2018,2014-07-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
22,07,2018,2014-07-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
23,05,2018,2013-07-01,2016-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
24,01,2018,2013-07-01,2016-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
25,10,2017,2013-07-01,2016-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
26,07,2017,2013-07-01,2016-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
27,05,2015,2010-07-01,2013-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
28,04,2015,2010-07-01,2013-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
29,01,2015,2010-07-01,2013-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
30,12,2014,2010-07-01,2013-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
31,10,2014,2009-07-01,2012-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
32,07,2014,2009-07-01,2012-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
33,01,2023,2019-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
34,04,2023,2019-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
35,07,2023,2019-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
36,10,2023,2019-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
37,01,2022,2018-07-01,2019-12-31,AMI 30-Day Mortality Rate (MORT 30 AMI)
38,04,2022,2018-07-01,2019-12-31,AMI 30-Day Mortality Rate (MORT 30 AMI)
39,07,2022,2019-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
40,10,2022,2019-07-01,2021-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
41,01,2021,2017-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
42,03,2021,2017-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
43,04,2021,2017-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
44,07,2021,2018-07-01,2019-12-31,AMI 30-Day Mortality Rate (MORT 30 AMI)
45,10,2021,2018-07-01,2019-12-31,AMI 30-Day Mortality Rate (MORT 30 AMI)
46,10,2020,2017-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
47,07,2020,2017-07-01,2019-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
48,04,2020,2016-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
49,01,2020,2016-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
50,10,2019,2016-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
51,07,2019,2016-07-01,2018-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
52,04,2019,2015-10-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
53,03,2019,2015-10-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
54,10,2018,2015-10-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
55,07,2018,2015-10-01,2017-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
56,05,2018,2014-07-01,2015-09-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
57,01,2018,2014-07-01,2015-09-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
58,10,2017,2014-07-01,2015-09-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
59,07,2017,2013-07-01,2015-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
60,04,2017,2013-07-01,2015-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
61,12,2016,2013-07-01,2015-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
62,11,2016,2013-07-01,2015-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
63,08,2016,2013-07-01,2015-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
64,05,2016,2012-07-01,2014-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
65,12,2015,2012-07-01,2014-06-30,AMI 30-Day Mortality Rate (MORT 30 AMI)
