,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2021-04-01,2022-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
1,04,2023,2021-07-01,2022-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
2,07,2023,2021-10-01,2022-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
3,10,2023,2021-10-01,2022-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
4,01,2022,2019-10-01,2021-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
5,04,2022,2019-10-01,2021-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
6,07,2022,2020-10-01,2021-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
7,10,2022,2021-01-01,2021-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
8,01,2021,2019-01-01,2019-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
9,03,2021,2019-01-01,2019-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
10,04,2021,2019-01-01,2019-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
11,07,2021,2019-04-01,2020-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
12,10,2021,2019-07-01,2020-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
13,10,2020,2019-01-01,2019-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
14,07,2020,2018-10-01,2019-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
15,04,2020,2018-07-01,2019-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
16,01,2020,2018-04-01,2019-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
17,10,2019,2018-01-01,2018-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
18,07,2019,2017-10-01,2018-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
19,04,2019,2017-07-01,2018-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
20,03,2019,2017-04-01,2018-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
21,10,2018,2017-01-01,2017-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
22,07,2018,2016-10-01,2017-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
23,05,2018,2016-07-01,2017-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
24,01,2018,2016-04-01,2017-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
25,10,2017,2016-01-01,2016-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
26,11,2016,2015-01-01,2015-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
27,08,2016,2015-01-01,2015-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
28,05,2016,2015-01-01,2015-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
29,12,2015,2015-01-01,2015-03-31,CAUTI (SIR) (HAI-2 SIR) (Score)
30,10,2015,2014-01-01,2014-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
31,07,2015,2013-10-01,2014-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
32,05,2015,2013-07-01,2014-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
33,04,2015,2013-07-01,2014-06-30,CAUTI (SIR) (HAI-2 SIR) (Score)
34,01,2015,2013-01-01,2013-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
35,12,2014,2013-01-01,2013-12-31,CAUTI (SIR) (HAI-2 SIR) (Score)
36,10,2014,2012-10-01,2013-09-30,CAUTI (SIR) (HAI-2 SIR) (Score)
