,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2021-04-01,2022-03-31,Number of Completed Surveys
1,04,2023,2021-07-01,2022-06-30,Number of Completed Surveys
2,07,2023,2021-10-01,2022-09-30,Number of Completed Surveys
3,10,2023,2021-10-01,2022-09-30,Number of Completed Surveys
4,01,2022,2020-07-01,2021-03-31,Number of Completed Surveys
5,04,2022,2020-07-01,2021-03-31,Number of Completed Surveys
6,07,2022,2020-10-01,2021-09-30,Number of Completed Surveys
7,10,2022,2021-01-01,2021-12-31,Number of Completed Surveys
8,01,2021,2019-01-01,2019-12-31,Number of Completed Surveys
9,03,2021,2019-01-01,2019-12-31,Number of Completed Surveys
10,04,2021,2019-01-01,2019-12-31,Number of Completed Surveys
11,07,2021,2019-01-01,2019-12-31,Number of Completed Surveys
12,10,2021,2020-07-01,2020-12-31,Number of Completed Surveys
13,10,2020,2019-01-01,2019-12-31,Number of Completed Surveys
14,07,2020,2018-10-01,2019-09-30,Number of Completed Surveys
15,04,2020,2018-07-01,2019-06-30,Number of Completed Surveys
16,01,2020,2018-04-01,2019-03-31,Number of Completed Surveys
17,10,2019,2018-01-01,2018-12-31,Number of Completed Surveys
18,07,2019,2017-10-01,2018-09-30,Number of Completed Surveys
19,04,2019,2017-07-01,2018-06-30,Number of Completed Surveys
20,03,2019,2017-04-01,2018-03-31,Number of Completed Surveys
21,10,2018,2017-01-01,2017-12-31,Number of Completed Surveys
22,07,2018,2016-10-01,2017-09-30,Number of Completed Surveys
23,05,2018,2016-07-01,2017-06-30,Number of Completed Surveys
24,01,2018,2016-04-01,2017-03-31,Number of Completed Surveys
25,10,2017,2016-01-01,2016-12-31,Number of Completed Surveys
26,07,2017,2015-10-01,2016-09-30,Number of Completed Surveys
27,04,2017,2015-07-01,2016-06-30,Number of Completed Surveys
28,12,2016,2015-04-01,2016-03-31,Number of Completed Surveys
29,11,2016,2015-01-01,2015-12-31,Number of Completed Surveys
30,08,2016,2014-10-01,2015-09-30,Number of Completed Surveys
31,05,2016,2014-07-01,2015-06-30,Number of Completed Surveys
32,12,2015,2014-04-01,2015-03-31,Number of Completed Surveys
33,10,2015,2014-01-01,2014-12-31,Number of Completed Surveys
34,07,2015,2013-10-01,2014-09-30,Number of Completed Surveys
35,05,2015,2013-07-01,2014-06-30,Number of Completed Surveys
36,04,2015,2013-07-01,2014-06-30,Number of Completed Surveys
37,01,2015,2013-01-01,2013-12-31,Number of Completed Surveys
38,12,2014,2013-01-01,2013-12-31,Number of Completed Surveys
39,10,2014,2012-10-01,2013-09-30,Number of Completed Surveys
40,07,2014,2012-10-01,2013-09-30,Number of Completed Surveys
41,01,2023,2021-04-01,2022-03-31,Survey Response Rate Percent
42,04,2023,2021-07-01,2022-06-30,Survey Response Rate Percent
43,07,2023,2021-10-01,2022-09-30,Survey Response Rate Percent
44,10,2023,2021-10-01,2022-09-30,Survey Response Rate Percent
45,01,2022,2020-07-01,2021-03-31,Survey Response Rate Percent
46,04,2022,2020-07-01,2021-03-31,Survey Response Rate Percent
47,07,2022,2020-10-01,2021-09-30,Survey Response Rate Percent
48,10,2022,2021-01-01,2021-12-31,Survey Response Rate Percent
49,01,2021,2019-01-01,2019-12-31,Survey Response Rate Percent
50,03,2021,2019-01-01,2019-12-31,Survey Response Rate Percent
51,04,2021,2019-01-01,2019-12-31,Survey Response Rate Percent
52,07,2021,2019-01-01,2019-12-31,Survey Response Rate Percent
53,10,2021,2020-07-01,2020-12-31,Survey Response Rate Percent
54,10,2020,2019-01-01,2019-12-31,Survey Response Rate Percent
