,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2018-07-01,2021-06-30,READM-30-AMI (Excess Readmission Ratio)
1,04,2023,2018-07-01,2021-06-30,READM-30-AMI (Excess Readmission Ratio)
2,07,2023,2018-07-01,2021-06-30,READM-30-AMI (Excess Readmission Ratio)
3,10,2023,2018-07-01,2021-06-30,READM-30-AMI (Excess Readmission Ratio)
4,01,2022,2017-07-01,2019-12-01,READM-30-AMI (Excess Readmission Ratio)
5,04,2022,2017-07-01,2019-12-01,READM-30-AMI (Excess Readmission Ratio)
6,07,2022,2017-07-01,2019-12-01,READM-30-AMI (Excess Readmission Ratio)
7,10,2022,2017-07-01,2019-12-01,READM-30-AMI (Excess Readmission Ratio)
8,01,2021,2016-07-01,2019-06-30,READM-30-AMI (Excess Readmission Ratio)
9,03,2021,2016-07-01,2019-06-30,READM-30-AMI (Excess Readmission Ratio)
10,04,2021,2016-07-01,2019-06-30,READM-30-AMI (Excess Readmission Ratio)
11,07,2021,2016-07-01,2019-06-30,READM-30-AMI (Excess Readmission Ratio)
12,10,2021,2016-07-01,2019-06-30,READM-30-AMI (Excess Readmission Ratio)
13,10,2020,2015-07-01,2018-06-30,READM-30-AMI (Excess Readmission Ratio)
14,07,2020,2015-07-01,2018-06-30,READM-30-AMI (Excess Readmission Ratio)
15,04,2020,2015-07-01,2018-06-30,READM-30-AMI (Excess Readmission Ratio)
16,01,2020,2015-07-01,2018-06-30,READM-30-AMI (Excess Readmission Ratio)
17,10,2019,2014-07-01,2017-06-30,READM-30-AMI (Excess Readmission Ratio)
18,07,2019,2014-07-01,2017-06-30,READM-30-AMI (Excess Readmission Ratio)
19,04,2019,2014-07-01,2017-06-30,READM-30-AMI (Excess Readmission Ratio)
20,03,2019,2014-07-01,2017-06-30,READM-30-AMI (Excess Readmission Ratio)
21,10,2018,2013-07-01,2016-06-30,READM-30-AMI (Excess Readmission Ratio)
22,07,2018,2013-07-01,2016-06-30,READM-30-AMI (Excess Readmission Ratio)
23,05,2018,2013-07-01,2016-06-30,READM-30-AMI (Excess Readmission Ratio)
24,01,2018,2013-07-01,2016-06-30,READM-30-AMI (Excess Readmission Ratio)
25,10,2017,2012-07-01,2015-06-30,READM-30-AMI (Excess Readmission Ratio)
26,07,2017,2012-07-01,2015-06-30,READM-30-AMI (Excess Readmission Ratio)
27,04,2017,2012-07-01,2015-06-30,READM-30-AMI (Excess Readmission Ratio)
28,12,2016,2012-07-01,2015-06-30,READM-30-AMI (Excess Readmission Ratio)
29,11,2016,2011-07-01,2014-06-30,READM-30-AMI (Excess Readmission Ratio)
30,08,2016,2011-07-01,2014-06-30,READM-30-AMI (Excess Readmission Ratio)
31,05,2016,2011-07-01,2014-06-30,READM-30-AMI (Excess Readmission Ratio)
32,12,2015,2011-07-01,2014-06-30,READM-30-AMI (Excess Readmission Ratio)
33,10,2015,2011-07-01,2014-06-30,READM-30-AMI (Excess Readmission Ratio)
34,07,2015,2010-07-01,2013-06-30,READM-30-AMI (Excess Readmission Ratio)
35,05,2015,2010-07-01,2013-06-30,READM-30-AMI (Excess Readmission Ratio)
36,04,2015,2010-07-01,2013-06-30,READM-30-AMI (Excess Readmission Ratio)
37,01,2015,2010-07-01,2013-06-30,READM-30-AMI (Excess Readmission Ratio)
38,12,2014,2010-07-01,2013-06-30,READM-30-AMI (Excess Readmission Ratio)
39,10,2014,2009-07-01,2012-06-30,READM-30-AMI (Excess Readmission Ratio)
40,07,2014,2009-07-01,2012-06-30,READM-30-AMI (Excess Readmission Ratio)
41,04,2014,2009-07-01,2012-06-30,READM-30-AMI (Excess Readmission Ratio)
42,01,2014,2009-07-01,2012-06-30,READM-30-AMI (Excess Readmission Ratio)
43,10,2013,2009-07-01,2012-06-30,READM-30-AMI (Excess Readmission Ratio)
44,07,2013,2008-07-01,2011-06-30,READM-30-AMI (Excess Readmission Ratio)
45,04,2013,2008-07-01,2011-06-30,READM-30-AMI (Excess Readmission Ratio)
46,01,2023,2018-07-01,2021-06-30,READM-30-AMI (Expected Readmission Rate)
47,04,2023,2018-07-01,2021-06-30,READM-30-AMI (Expected Readmission Rate)
48,07,2023,2018-07-01,2021-06-30,READM-30-AMI (Expected Readmission Rate)
49,10,2023,2018-07-01,2021-06-30,READM-30-AMI (Expected Readmission Rate)
50,01,2022,2017-07-01,2019-12-01,READM-30-AMI (Expected Readmission Rate)
51,04,2022,2017-07-01,2019-12-01,READM-30-AMI (Expected Readmission Rate)
52,07,2022,2017-07-01,2019-12-01,READM-30-AMI (Expected Readmission Rate)
53,10,2022,2017-07-01,2019-12-01,READM-30-AMI (Expected Readmission Rate)
54,01,2021,2016-07-01,2019-06-30,READM-30-AMI (Expected Readmission Rate)
55,03,2021,2016-07-01,2019-06-30,READM-30-AMI (Expected Readmission Rate)
56,04,2021,2016-07-01,2019-06-30,READM-30-AMI (Expected Readmission Rate)
57,07,2021,2016-07-01,2019-06-30,READM-30-AMI (Expected Readmission Rate)
58,10,2021,2016-07-01,2019-06-30,READM-30-AMI (Expected Readmission Rate)
