,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
1,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
2,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
3,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
4,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
5,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
6,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
7,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
8,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
9,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
10,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
11,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
12,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
13,01,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
14,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
15,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
16,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
17,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
18,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
19,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
20,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
21,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
22,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
23,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
24,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
25,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
26,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
27,04,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
28,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
29,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
30,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
31,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
32,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
33,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
34,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
35,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
36,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
37,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
38,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
39,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
40,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
41,07,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
42,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
43,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
44,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
45,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
46,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
47,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
48,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
49,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Points
50,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Achievement Threshold
51,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Baseline Rate
52,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Benchmark
53,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Improvement Points
54,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Measure Score
55,10,2023,2018-04-01,2021-03-31,COMP-HIP-KNEE Performance Rate
56,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Achievement Points
57,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Achievement Threshold
58,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Baseline Rate
59,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Benchmark
60,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Improvement Points
61,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Measure Score
62,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Performance Rate
63,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Achievement Points
64,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Achievement Threshold
65,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Baseline Rate
66,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Benchmark
67,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Improvement Points
68,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Measure Score
69,01,2022,2016-04-01,2019-03-31,COMP-HIP-KNEE Performance Rate
70,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Achievement Points
71,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Achievement Threshold
72,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Baseline Rate
73,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Benchmark
74,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Improvement Points
75,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Measure Score
76,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Performance Rate
77,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Achievement Points
78,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Achievement Threshold
79,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Baseline Rate
80,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Benchmark
81,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Improvement Points
82,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Measure Score
83,04,2022,2017-04-01,2020-03-31,COMP-HIP-KNEE Performance Rate
