,file_month,file_year,Start Date,End Date,Measure Name
0,01,2023,2018-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
1,04,2023,2018-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
2,07,2023,2019-07-01,2022-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
3,10,2023,2019-07-01,2022-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
4,01,2022,2017-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
5,04,2022,2017-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
6,07,2022,2018-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
7,10,2022,2018-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
8,01,2021,2016-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
9,03,2021,2016-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
10,04,2021,2016-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
11,07,2021,2017-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
12,10,2021,2017-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
13,10,2020,2016-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
14,07,2020,2016-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
15,04,2020,2015-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
16,01,2020,2015-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
17,10,2019,2015-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
18,07,2019,2015-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
19,04,2019,2014-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
20,03,2019,2014-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
21,10,2018,2014-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
22,07,2018,2014-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
23,05,2018,2013-07-01,2016-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
24,01,2018,2013-07-01,2016-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
25,01,2023,2020-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
26,04,2023,2020-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
27,07,2023,2021-07-01,2022-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
28,10,2023,2021-07-01,2022-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
29,01,2022,2019-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
30,04,2022,2019-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
31,07,2022,2020-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
32,10,2022,2020-07-01,2021-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
33,01,2021,2018-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
34,03,2021,2018-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
35,04,2021,2018-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
36,07,2021,2019-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
37,10,2021,2019-07-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
38,10,2020,2018-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
39,07,2020,2018-07-01,2019-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
40,04,2020,2017-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
41,01,2020,2017-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
42,10,2019,2017-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
43,07,2019,2017-07-01,2018-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
44,04,2019,2016-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
45,03,2019,2016-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
46,10,2018,2016-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
47,07,2018,2016-07-01,2017-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
48,05,2018,2015-07-01,2016-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
49,01,2018,2015-07-01,2016-06-30,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
50,01,2023,2021-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
51,04,2023,2021-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
52,07,2023,2021-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
53,10,2023,2021-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
54,01,2022,2020-07-01,2020-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
55,04,2022,2020-07-01,2020-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
56,10,2022,2020-07-01,2020-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
57,01,2021,2019-01-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
58,03,2021,2019-01-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
59,04,2021,2019-01-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
60,07,2021,2019-01-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
61,10,2021,2019-01-01,2019-12-01,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
62,10,2020,2018-01-01,2018-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
63,07,2020,2018-01-01,2018-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
64,04,2020,2018-01-01,2018-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
65,01,2020,2018-01-01,2018-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
66,01,2023,2019-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
67,04,2023,2019-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
68,07,2023,2019-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
69,10,2023,2019-01-01,2021-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
70,01,2022,2018-01-01,2020-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
71,04,2022,2018-01-01,2020-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
72,10,2022,2018-01-01,2020-12-31,30-Day HF Readmission Rate (READM-30 HF) (Denominator)
